T_hours,n_counties,n_towns_total,min_towns_per_county,max_towns_per_county,negative_counties,pct_negative_counties,median_spearman_density_rel,one_sided_sign_p
1,24,437,5,50,23,0.9583333333333334,-0.40640880858272166,1.4901161193847656e-06
2,24,437,5,50,24,1.0,-0.4138851904398123,5.960464477539063e-08
4,24,437,5,50,22,0.9166666666666666,-0.34795977679609397,1.7940998077392578e-05
8,24,437,5,50,22,0.9166666666666666,-0.29456654456654463,1.7940998077392578e-05
