state,county,city,density,impervious,rel
Connecticut,Middlesex,Essex,149.05997199335346,0.0,0.0788405509728884
Connecticut,Middlesex,Haddam,34.73758352398435,0.0,2.9350663728893074
Connecticut,Middlesex,Killingworth,31.451292575452474,0.0,1.0609777678430696
Connecticut,Middlesex,Middlefield,67.27800517173719,1.0,1.9440700103618591
Connecticut,Middlesex,Middletown,217.27128222898537,2.0,1.1260152313496752
Connecticut,Middlesex,Old Saybrook,182.7545073163593,71.0,0.494294511360694
Connecticut,Middlesex,Portland,76.9888038502868,45.0,0.4424095356412348
Connecticut,Middlesex,Westbrook,114.04387383878094,0.0,1.7337311283002446
Connecticut,New Haven,Ansonia,548.7981993004122,76.0,0.1320642715188592
Connecticut,New Haven,Beacon Falls,111.9909947426494,0.0,0.9549273190798916
Connecticut,New Haven,Bethany,43.12304772222248,42.0,11.082811793530889
Connecticut,New Haven,Branford,293.3262264228859,0.0,0.3129769823743222
Connecticut,New Haven,Cheshire,136.10347269157015,10.0,1.9509510857800203
Connecticut,New Haven,Derby,488.2342271820377,15.0,0.1172319636119558
Connecticut,New Haven,East Haven,418.08770170612127,0.0,0.1571246917113279
Connecticut,New Haven,Guilford,90.56588472925422,0.0,0.555969339234529
Connecticut,New Haven,Hamden,318.90631321264283,7.0,1.1965004505317605
Connecticut,New Haven,Milford,475.7325232882281,0.0,0.7690831647342966
Connecticut,New Haven,Naugatuck,340.52044343349803,75.0,4.4137106445371375
Connecticut,New Haven,New Haven,1215.256266057312,58.0,0.7954538090049411
Connecticut,New Haven,North Branford,54.44186005457099,0.0,0.0815782727953468
Connecticut,New Haven,North Haven,215.8048362441851,0.0,1.8039425564151967
Connecticut,New Haven,Orange,143.73432934002392,31.0,0.4690908084039187
Connecticut,New Haven,Oxford,66.18350155788865,30.0,1.784411459387825
Connecticut,New Haven,Prospect,112.801447186289,0.0,1.3493169596915622
Connecticut,New Haven,Seymour,202.94715113634712,6.0,1.8219733089383092
