state,county,city,town_tracked,aland_sqkm,density,lat,lon,rel
Connecticut,Fairfield,Bethel,8843.0,43.91819,201.35164951014602,41.369778,-73.389503,0.9592560398912141
Connecticut,Fairfield,Bridgeport,60475.0,41.606639,1453.4939964749376,41.187393,-73.195757,0.4365241367778956
Connecticut,Fairfield,Brookfield,8395.0,51.115716,164.23520312226478,41.470402,-73.39476,0.4668044630407775
Connecticut,Fairfield,Danbury,37236.0,108.855295,342.06879876628875,41.398741,-73.478103,1.0859165909930424
Connecticut,Fairfield,Darien,8084.0,32.774488,246.6552643019168,41.05215,-73.479714,1.0923386336938874
Connecticut,Fairfield,Easton,2964.0,71.026086,41.73114649735873,41.264945,-73.300479,0.5949979747111229
Connecticut,Fairfield,Fairfield,24168.0,77.447782,312.0554181913176,41.17594,-73.272046,1.5131054051355493
Connecticut,Fairfield,Greenwich,28166.0,123.59768,227.8845363440479,41.045366,-73.634018,0.7435760690684224
Connecticut,Fairfield,Monroe,7948.0,67.522444,117.70900946654125,41.339236,-73.222828,3.0507254064288407
Connecticut,Fairfield,New Canaan,8459.0,57.48408,147.15378588297838,41.160393,-73.500124,2.6697297748174926
Connecticut,Fairfield,New Fairfield,6097.0,52.889967,115.27706190476542,41.480318,-73.486863,0.8765542682359235
Connecticut,Fairfield,Newtown,11401.0,148.996254,76.5187022755619,41.399503,-73.293982,3.548381637685046
Connecticut,Fairfield,Norwalk,31357.0,59.275232,529.0067865107638,41.092739,-73.419796,0.97672282243675
Connecticut,Fairfield,Redding,3830.0,81.527153,46.97821350391078,41.305415,-73.392584,1.2353763787786354
Connecticut,Fairfield,Ridgefield,10925.0,89.355361,122.26462830808775,41.317675,-73.499837,1.1218668099543547
Connecticut,Fairfield,Shelton,18447.5,79.334982,232.52668034890334,41.304577,-73.139215,1.211498509550186
Connecticut,Fairfield,Sherman,1988.0,56.757602,35.02614504397138,41.579418,-73.49769,3.972541563475984
Connecticut,Fairfield,Southport,1.0,,,,,0.0
Connecticut,Fairfield,Stamford,60264.0,97.455298,618.3758219075992,41.079611,-73.54608,0.5003638710459312
Connecticut,Fairfield,Stratford,23623.0,45.275801,521.757748692287,41.205688,-73.127986,0.7736401928365586
Connecticut,Fairfield,Trumbull,13954.0,60.189114,231.8359429580572,41.272891,-73.211899,0.3982938396969828
Connecticut,Fairfield,Weston,3868.0,51.203832,75.54122121172493,41.227413,-73.367061,1.726041453213768
Connecticut,Fairfield,Westport,12570.0,51.695166,243.15619762203684,41.120831,-73.343464,1.5784872515114012
Connecticut,Fairfield,Wilton,7545.0,69.376751,108.75401184468843,41.211277,-73.440977,0.3008538245171716
Connecticut,Hartford,Avon,8702.0,59.982587,145.07543664297106,41.787159,-72.852046,2.279420192598072
Connecticut,Hartford,Berlin,9821.0,68.147323,144.11424495720837,41.605451,-72.778497,0.8189733750269905
Connecticut,Hartford,Bloomfield,10601.0,67.562263,156.90711840128859,41.843772,-72.741002,2.4949974472667704
