fips,name,regime,obs,routed_wape,xgb_wape,margin,years_won,cells_won,route
42079,"Luzerne, PA",trend,1640.0,0.21280487804878048,0.29405058258991257,-0.38178497262881556,1,2.0,statistical
24047,"Worcester, MD",trend,796.0,0.08919597989949749,0.12579724669516532,-0.4103465967514309,0,6.0,statistical
24027,"Howard, MD",trend,1590.0,0.08993710691823899,0.1306670163425329,-0.45287102087151965,0,3.0,statistical
33015,"Rockingham, NH",stable,956.0,0.08711505327716475,0.12674795305958622,-0.454948924341763,1,4.0,statistical
42129,"Westmoreland, PA",stable,2033.0,0.14793926779097477,0.21743257366829088,-0.4697421240147279,1,4.0,statistical
42051,"Fayette, PA",stable,1457.0,0.12201987284223416,0.1811953453024912,-0.4849658591004114,1,4.0,statistical
42029,"Chester, PA",insufficient,1127.0,0.5207811303395564,0.7791620239339373,-0.49614104379302876,0,2.0,statistical
42025,"Carbon, PA",trend,770.0,0.16103896103896104,0.2440314718982454,-0.5153567206584593,0,2.0,statistical
23019,"Penobscot, ME",stable,804.0,0.16607836582654298,0.251700307283113,-0.5155514448281363,0,3.0,statistical
24045,"Wicomico, MD",shift,819.0,0.14285714285714285,0.22084990804896926,-0.5459493563427849,1,7.0,statistical
42107,"Schuylkill, PA",trend,1371.0,0.14660831509846828,0.2281420882854379,-0.5561333484544047,0,2.0,statistical
24041,"Talbot, MD",trend,415.0,0.1614457831325301,0.25283213203723304,-0.5660497730664436,0,3.0,statistical
42011,"Berks, PA",stable,2078.0,0.10306241455832062,0.1630643224989618,-0.5821900078489575,0,2.0,statistical
42013,"Blair, PA",trend,1345.0,0.08996282527881042,0.14356887007344696,-0.5958688450312905,1,3.0,statistical
36071,"Orange, NY",shift,2287.0,0.06165282028858767,0.09870850173138834,-0.6010378968771996,1,3.0,statistical
50003,"Bennington, VT",stable,288.0,0.14856781048860446,0.2394552325872963,-0.6117571619301959,0,4.0,statistical
42077,"Lehigh, PA",shift,2056.0,0.1220817120622568,0.19786775686740002,-0.6207813072485038,1,3.0,statistical
50005,"Caledonia, VT",trend,243.0,0.19753086419753085,0.3261559651814312,-0.6511645737309956,0,3.0,statistical
42003,"Allegheny, PA",stable,2118.0,0.11023030498422877,0.1903137055049604,-0.7265098334998673,1,4.0,statistical
42097,"Northumberland, PA",trend,933.0,0.1264737406216506,0.22055925346708138,-0.743913419362601,0,2.0,statistical
33017,"Strafford, NH",stable,366.0,0.1885827481358534,0.3307356453583082,-0.753795872780733,0,3.0,statistical
42041,"Cumberland, PA",trend,1716.0,0.1282051282051282,0.22679543841604893,-0.7690044196451818,0,0.0,statistical
34029,"Ocean, NJ",stable,2118.0,0.13246256292198766,0.2356923352917259,-0.77931281180581,0,2.0,statistical
25009,"Essex, MA",shift,2117.0,0.06660368445914029,0.1209901080049006,-0.8165677918182594,0,3.0,statistical
42071,"Lancaster, PA",trend,2186.0,0.0768526989935956,0.140034966224315,-0.8221216438473369,0,1.0,statistical
33005,"Cheshire, NH",stable,428.0,0.12909136759098766,0.23900063877913616,-0.8514068232384399,0,6.0,statistical
42091,"Montgomery, PA",trend,853.0,0.5240328253223916,1.0054889555250586,-0.9187518547267894,0,1.0,statistical
42133,"York, PA",trend,1787.0,0.18690542809177393,0.3619121052082498,-0.9363381197818633,0,4.0,statistical
42105,"Potter, PA",trend,331.0,0.11178247734138973,0.21734757205750713,-0.9443796311090502,0,2.0,statistical
50017,"Orange, VT",trend,496.0,0.15120967741935484,0.29461891135337204,-0.9484130670836337,0,4.0,statistical
33001,"Belknap, NH",shift,487.0,0.15605749486652978,0.3135248630077821,-1.0090343195367089,0,3.0,statistical
25005,"Bristol, MA",shift,1288.0,0.09937888198757763,0.21250148298233845,-1.1382961725097809,0,2.0,statistical
42049,"Erie, PA",shift,1815.0,0.13608815426997245,0.29166528569060785,-1.1432084758236973,1,4.0,statistical
33013,"Merrimack, NH",stable,694.0,0.08281229872983811,0.177641288012252,-1.1451075593466897,0,4.0,statistical
36027,"Dutchess, NY",stable,2030.0,0.05730569510544716,0.12324662048689775,-1.1506871221108808,0,2.0,statistical
50023,"Washington, VT",shift,515.0,0.17281553398058253,0.3875884781662345,-1.2427872612989972,0,2.0,statistical
34011,"Cumberland, NJ",trend,1338.0,0.14648729446935724,0.33538449454367586,-1.2895125188746854,0,1.0,statistical
24035,"Queen Anne's, MD",trend,653.0,0.15007656967840735,0.35446171614133737,-1.361872455513197,0,3.0,statistical
36105,"Sullivan, NY",trend,1414.0,0.04738330975954738,0.11797582946803668,-1.4898182517582668,0,2.0,statistical
24005,"Baltimore, MD",trend,932.0,0.21995708154506438,0.563680141896382,-1.5626824012069662,0,1.0,statistical
42101,"Philadelphia, PA",trend,108.0,0.9351851851851852,2.400645855826178,-1.5670272517745267,0,1.0,statistical
33011,"Hillsborough, NH",stable,1055.0,0.09066086096153499,0.23866305230874266,-1.6324816439808694,0,4.0,statistical
36019,"Clinton, NY",stable,231.0,0.13509373783635725,0.3638831755163851,-1.6935606442185112,0,2.0,statistical
24029,"Kent, MD",trend,407.0,0.08845208845208845,0.25915891699211074,-1.9299355337719186,0,4.0,statistical
24510,"Baltimore, MD",trend,628.0,0.46178343949044587,1.5496932247039474,-2.3558873969451,0,0.0,statistical
42069,"Lackawanna, PA",trend,1424.0,0.0976123595505618,0.3840398035167128,-2.9343358288330865,0,0.0,statistical
36059,"Nassau, NY",trend,2696.0,0.033753709198813056,0.15541438379492997,-3.604364601221222,0,2.0,statistical
25013,"Hampden, MA",shift,122.0,0.9098360655737705,4.536851155359438,-3.9864490176022644,0,3.0,statistical
10003,"New Castle, DE",trend,2338.0,0.032506415739948676,0.21008500611885397,-5.46287821455106,0,1.0,statistical
