USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
ME	23001010100	814411	147593	0.314	0.057	44.0940246	-70.2268339
ME	23001010200	43957849	12199894	16.972	4.71	44.1582621	-70.2522312
ME	23001010300	1179939	1250	0.456	0.	44.0997019	-70.234261
ME	23001010400	2347030	38252	0.906	0.015	44.0852185	-70.2442931
ME	23001010500	729968	84888	0.282	0.033	44.0847855	-70.2228323
ME	23001010600	60556969	941989	23.381	0.364	44.030417	-70.2323963
ME	23001010700	29323586	457784	11.322	0.177	44.0696191	-70.2896961
ME	23001010800	14778788	2705204	5.706	1.044	44.1007244	-70.2578317
ME	23001020100	659243	126865	0.255	0.049	44.0946118	-70.2183518
ME	23001020200	1003897	237788	0.388	0.092	44.1063256	-70.2162485
ME	23001020301	836178	10199	0.323	0.004	44.104716	-70.198362
ME	23001020302	521716	0	0.201	0.	44.0995004	-70.2031463
ME	23001020303	265266	0	0.102	0.	44.0981912	-70.2101092
ME	23001020401	184238	0	0.071	0.	44.0935219	-70.2098553
ME	23001020402	1679539	215708	0.648	0.083	44.0891966	-70.207949
ME	23001020500	2454967	170953	0.948	0.066	44.0832891	-70.1969243
ME	23001020600	28098943	833583	10.849	0.322	44.0568207	-70.1586973
ME	23001020700	6152018	20674	2.375	0.008	44.1054804	-70.1839666
ME	23001020801	19733212	732251	7.619	0.283	44.1137696	-70.1530873
ME	23001020802	15362332	104168	5.931	0.04	44.0810177	-70.1466893
ME	23001020900	11485509	1145403	4.435	0.442	44.1387836	-70.1936111
ME	23001030100	37726010	2060887	14.566	0.796	44.0221792	-70.1173875
ME	23001030200	21418031	504379	8.27	0.195	44.0366878	-70.0587993
ME	23001040000	99144955	1976572	38.28	0.763	43.9560209	-70.1324175
ME	23001041000	109380787	12835647	42.232	4.956	44.0481059	-70.3935627
ME	23001041500	105076511	893121	40.57	0.345	44.1431469	-70.3638767
ME	23001042000	153480780	8961148	59.259	3.46	44.2671028	-70.2465284
ME	23001043000	97435658	4596036	37.62	1.775	44.4116381	-70.2161865
ME	23001044000	50966671	1924400	19.678	0.743	44.4453367	-70.1380761
ME	23001045000	103737920	8699246	40.053	3.359	44.2953505	-70.133074
ME	23001046000	83595024	7536182	32.276	2.91	44.1897541	-70.1450885
ME	23001046500	107907473	5379641	41.663	2.077	44.1168308	-70.0625824
ME	23003950100	1659434048	87720419	640.711	33.869	47.0117051	-68.2401306
ME	23003950200	177241912	5001473	68.433	1.931	47.2095893	-68.0648078
ME	23003950300	143889187	1831281	55.556	0.707	47.2932982	-68.2518091
ME	23003950400	151373450	15438701	58.446	5.961	47.2552694	-68.3704143
ME	23003950600	140181812	2639014	54.125	1.019	47.2353421	-68.5657433
ME	23003950700	7705911873	132536285	2975.269	51.173	46.8948656	-69.1319507
ME	23003950900	578670245	17525781	223.426	6.767	46.6432179	-68.4290433
ME	23003951000	368113631	2778891	142.129	1.073	46.842677	-68.1810418
ME	23003951100	279824141	3316378	108.041	1.28	46.6712536	-68.1504791
ME	23003951200	41095387	63855	15.867	0.025	46.8981891	-68.044159
ME	23003951300	84651694	1157278	32.684	0.447	46.9001403	-67.969715
ME	23003951400	79612947	861646	30.739	0.333	46.8109671	-67.9926346
ME	23003951600	104880051	775089	40.494	0.299	46.90692	-67.8630059
ME	23003951700	299639160	4269052	115.691	1.648	46.736721	-67.8485955
ME	23003951800	82254678	2424312	31.759	0.936	46.7418472	-67.9807686
ME	23003951900	51887524	48017	20.034	0.019	46.6648852	-67.9624152
ME	23003952000	62123182	2251868	23.986	0.869	46.6379614	-68.0064743
ME	23003952100	243357830	410889	93.961	0.159	46.5357947	-67.8988472
ME	23003952300	1837748356	29654017	709.559	11.449	46.3906244	-68.1511301
ME	23003952400	45833985	0	17.697	0.	46.1408704	-67.810905
ME	23003952500	49251605	39040	19.016	0.015	46.1410353	-67.8845411
ME	23003952600	502752159	8762375	194.114	3.383	46.1160552	-68.0143474
ME	23003952700	692625193	17101769	267.424	6.603	46.0489948	-68.3069619
ME	23003952900	1895808759	68470897	731.976	26.437	45.8248605	-68.1024043
ME	23005000100	675423	202464	0.261	0.078	43.6707847	-70.2521357
ME	23005000200	462985	269077	0.179	0.104	43.6661624	-70.2423254
ME	23005000300	1681711	1213018	0.649	0.468	43.6518305	-70.2573242
ME	23005000500	839831	696718	0.324	0.269	43.6668402	-70.2598604
ME	23005000600	654031	0	0.253	0.	43.6604949	-70.2626027
ME	23005001000	479016	0	0.185	0.	43.656518	-70.2706812
ME	23005001100	346644	0	0.134	0.	43.650059	-70.2623378
ME	23005001200	169387	0	0.065	0.	43.6486156	-70.2669837
ME	23005001300	1272078	0	0.491	0.	43.6499381	-70.2748148
ME	23005001500	1393392	314971	0.538	0.122	43.6642042	-70.2762835
ME	23005001700	1945180	10827	0.751	0.004	43.6639364	-70.2960208
ME	23005001800	2185760	890305	0.844	0.344	43.6793999	-70.2757362
ME	23005001900	1695746	0	0.655	0.	43.6743053	-70.2961666
ME	23005002001	3436371	18533	1.327	0.007	43.679071	-70.3185726
ME	23005002002	8326022	990801	3.215	0.383	43.653008	-70.3135329
ME	23005002101	5087863	9146	1.964	0.004	43.7066677	-70.286108
ME	23005002102	9556664	79672	3.69	0.031	43.6978633	-70.3119677
ME	23005002200	4637366	0	1.79	0.	43.694065	-70.2788657
ME	23005002300	2422992	966189	0.936	0.373	43.6895355	-70.2561668
ME	23005002400	12234568	76809998	4.724	29.657	43.6769364	-70.1547563
ME	23005002501	10664858	16072257	4.118	6.206	43.712517	-70.218258
ME	23005002503	38283390	1087640	14.781	0.42	43.7723041	-70.3202748
ME	23005002504	27198147	813487	10.501	0.314	43.7377368	-70.2613216
ME	23005002600	14344038	132111	5.538	0.051	43.7179635	-70.3454962
ME	23005002700	12719361	128617	4.911	0.05	43.7091145	-70.3652304
ME	23005002800	4387300	68063	1.694	0.026	43.6750256	-70.340223
ME	23005002901	10464924	10243	4.041	0.004	43.6548736	-70.3738519
ME	23005002902	2603812	104809	1.005	0.04	43.6740675	-70.3744116
ME	23005003001	4598546	106375	1.776	0.041	43.6286015	-70.3063234
ME	23005003002	9366750	462771	3.617	0.179	43.6402825	-70.3281945
ME	23005003100	2844102	991646	1.098	0.383	43.6333139	-70.2700517
ME	23005003200	1590279	708916	0.614	0.274	43.6426026	-70.2533742
ME	23005003300	6263983	0	2.419	0.	43.6171647	-70.2897952
ME	23005003400	4270468	38501	1.649	0.015	43.6200415	-70.2614033
ME	23005003500	2259748	2791891	0.872	1.078	43.6462496	-70.2323563
ME	23005003701	10185278	6126184	3.933	2.365	43.6113135	-70.2244363
ME	23005003702	28282438	10073626	10.92	3.889	43.5728545	-70.2429698
ME	23005004001	27487620	314011	10.613	0.121	43.6588055	-70.4142033
ME	23005004002	34552689	62704	13.341	0.024	43.6716228	-70.4471513
ME	23005004100	68982104	1348669	26.634	0.521	43.7312844	-70.4848656
ME	23005004201	33783391	120172	13.044	0.046	43.7955855	-70.2810905
ME	23005004202	34675805	53499115	13.388	20.656	43.7353201	-70.0810075
ME	23005004401	19080030	259067	7.367	0.1	43.8126029	-70.1865456
ME	23005004402	15637719	24453319	6.038	9.441	43.7681061	-70.1352038
ME	23005004501	39698049	192622	15.328	0.074	43.8747725	-70.1267043
ME	23005004502	50282923	30180321	19.414	11.653	43.8233011	-70.0886482
ME	23005004600	54973599	494215	21.225	0.191	43.8456062	-70.2412507
ME	23005004701	30933087	6475908	11.943	2.5	43.8819454	-70.3789073
ME	23005004702	81195877	517602	31.35	0.2	43.8774071	-70.3168171
ME	23005004802	41299133	2159533	15.946	0.834	43.7960531	-70.3804724
ME	23005004803	48160956	1005246	18.595	0.388	43.7607182	-70.4082386
ME	23005004804	10916733	352179	4.215	0.136	43.8162568	-70.4264106
ME	23005004805	20259447	5733239	7.822	2.214	43.8544197	-70.4340517
ME	23005011100	36734013	7427643	14.183	2.868	43.8954369	-69.9075912
ME	23005011203	18807308	9149283	7.262	3.533	43.8620237	-69.985887
ME	23005011204	8560473	333448	3.305	0.129	43.9112127	-69.992534
ME	23005011205	3981811	593140	1.537	0.229	43.9119382	-69.950611
ME	23005011206	3005107	0	1.16	0.	43.9057043	-69.9713653
ME	23005011300	50059320	2066620	19.328	0.798	43.9110615	-70.0261365
ME	23005011500	181247259	1809945	69.98	0.699	43.9428465	-70.256461
ME	23005012001	39436496	4235927	15.227	1.636	43.9685512	-70.4332346
ME	23005012002	46540356	25706517	17.969	9.925	43.9012088	-70.4740555
ME	23005013001	41569045	4875143	16.05	1.882	44.0034535	-70.5028565
ME	23005013002	39455929	12543241	15.234	4.843	43.9340884	-70.5299254
ME	23005014001	41881542	7401741	16.171	2.858	43.9887424	-70.5901492
ME	23005014002	40569670	6617043	15.664	2.555	43.958199	-70.6339452
