USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
NV	32001950100	9579192494	144611540	3698.547	55.835	39.563589	-118.1428269
NV	32001950301	4483318	0	1.731	0.	39.4746227	-118.7682909
NV	32001950302	5825696	0	2.249	0.	39.4731745	-118.7886951
NV	32001950400	33945200	85200	13.106	0.033	39.4224362	-118.7047462
NV	32001950500	381112776	6227866	147.148	2.405	39.600913	-118.6828562
NV	32001950600	1813277006	14960975	700.11	5.776	39.7934997	-118.9516281
NV	32001950700	1003011318	24857410	387.265	9.598	39.3104947	-118.8863319
NV	32003000101	3767445	16683	1.455	0.006	36.1821704	-115.1919976
NV	32003000103	1298899	0	0.502	0.	36.1628205	-115.2329526
NV	32003000105	2034699	0	0.786	0.	36.1667291	-115.1990194
NV	32003000106	1361238	0	0.526	0.	36.169984	-115.2150626
NV	32003000107	1248433	0	0.482	0.	36.162678	-115.2149023
NV	32003000108	959920	0	0.371	0.	36.1821439	-115.2097966
NV	32003000109	968318	0	0.374	0.	36.177388	-115.2169978
NV	32003000201	2185454	0	0.844	0.	36.1823534	-115.1694857
NV	32003000203	2033657	0	0.785	0.	36.1674855	-115.1668588
NV	32003000204	1738371	0	0.671	0.	36.1525567	-115.1667431
NV	32003000301	3657040	0	1.412	0.	36.1777598	-115.1511921
NV	32003000302	2309196	0	0.892	0.	36.1880187	-115.1588665
NV	32003000401	933885	0	0.361	0.	36.1820491	-115.138192
NV	32003000402	1382724	0	0.534	0.	36.1809239	-115.1299765
NV	32003000403	654832	0	0.253	0.	36.1708341	-115.1299149
NV	32003000510	1144317	0	0.442	0.	36.1804178	-115.1203006
NV	32003000513	1324072	0	0.511	0.	36.1848434	-115.0712429
NV	32003000514	1913109	0	0.739	0.	36.1772512	-115.0933559
NV	32003000515	1339509	0	0.517	0.	36.1774514	-115.0713165
NV	32003000516	1831624	0	0.707	0.	36.1698653	-115.0930999
NV	32003000517	1340136	0	0.517	0.	36.1700826	-115.0712619
NV	32003000518	1829769	0	0.706	0.	36.1625578	-115.0929382
NV	32003000519	1330621	0	0.514	0.	36.1627442	-115.0712758
NV	32003000520	558061	0	0.215	0.	36.1708821	-115.1205699
