USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
MS	28001000101	306909765	344651	118.499	0.133	31.5024898	-91.2415151
MS	28001000102	255279696	3184711	98.564	1.23	31.4163408	-91.2963448
MS	28001000200	217304233	14421880	83.902	5.568	31.6540839	-91.3693639
MS	28001000300	2945095	0	1.137	0.	31.5718286	-91.3857982
MS	28001000400	3863905	0	1.492	0.	31.5628693	-91.3776163
MS	28001000500	20287756	45183	7.833	0.017	31.5788207	-91.3193458
MS	28001000600	6449580	0	2.49	0.	31.5493002	-91.3789867
MS	28001000700	3351907	715867	1.294	0.276	31.5557791	-91.4051499
MS	28001000800	372382131	46561347	143.778	17.977	31.4749919	-91.4426819
MS	28001000900	8690200	0	3.355	0.	31.5273342	-91.3862507
MS	28003950100	87338778	107862	33.722	0.042	34.9572201	-88.4342055
MS	28003950201	6060374	0	2.34	0.	34.9342471	-88.4967886
MS	28003950202	22789266	77274	8.799	0.03	34.9679762	-88.5028457
MS	28003950300	39287199	114580	15.169	0.044	34.9653759	-88.5564844
MS	28003950401	164823174	311209	63.639	0.12	34.9038667	-88.7045702
MS	28003950402	161259730	527006	62.263	0.203	34.9593332	-88.7171894
MS	28003950501	82200705	1319439	31.738	0.509	34.8862873	-88.5338629
MS	28003950502	8156048	0	3.149	0.	34.9243148	-88.5290992
MS	28003950600	194219201	178259	74.988	0.069	34.8398356	-88.4208862
MS	28003950700	269975934	772404	104.238	0.298	34.8044023	-88.6207245
MS	28005950100	587655925	705011	226.895	0.272	31.2522394	-90.6966205
MS	28005950200	443451290	1193155	171.218	0.461	31.2697036	-90.9440265
MS	28005950301	371169355	755945	143.309	0.292	31.0808635	-90.9534555
MS	28005950302	488674298	1223712	188.678	0.472	31.0787865	-90.7035026
MS	28007060100	539607113	280143	208.343	0.108	33.1814707	-89.4320685
MS	28007060200	524196648	1060453	202.393	0.409	33.1671209	-89.6637816
MS	28007060300	450385239	2175206	173.895	0.84	32.9806788	-89.7633784
MS	28007060400	362542477	823514	139.978	0.318	32.9913141	-89.4678239
MS	28007060500	11917421	5758	4.601	0.002	33.0579231	-89.5761937
MS	28007060600	14880397	80786	5.745	0.031	33.0601683	-89.6104243
MS	28009950101	265980979	2115283	102.696	0.817	34.885205	-89.2746488
MS	28009950102	437695163	1314747	168.995	0.508	34.8864983	-89.123605
MS	28009950200	349455282	1849154	134.925	0.714	34.678964	-89.1921646
MS	28011950100	564606925	29137597	217.996	11.25	34.0135291	-90.8216957
MS	28011950200	277572316	11950267	107.171	4.614	33.8510532	-90.9489075
MS	28011950300	237766445	1138710	91.802	0.44	33.8681737	-90.7581997
MS	28011950400	898701094	35861107	346.99	13.846	33.644291	-90.9744281
MS	28011950500	259753732	3359051	100.291	1.297	33.6703244	-90.6911004
MS	28011950601	6905352	0	2.666	0.	33.7291801	-90.7416953
MS	28011950602	11394608	0	4.399	0.	33.7513041	-90.7474379
MS	28011950701	9717363	0	3.752	0.	33.747526	-90.7059439
MS	28011950702	3723847	0	1.438	0.	33.7290805	-90.7189356
MS	28013950100	655467427	1835446	253.077	0.709	34.0422089	-89.3308171
MS	28013950200	6352652	0	2.453	0.	33.9894051	-89.3397624
MS	28013950300	544645871	1566971	210.289	0.605	33.8322968	-89.3980597
MS	28013950400	289425107	127251	111.748	0.049	33.8759688	-89.2127276
MS	28013950500	23327235	60720	9.007	0.023	33.8645839	-89.3078535
MS	28015950100	616662446	8697740	238.095	3.358	33.5757625	-89.9402948
MS	28015950201	754744426	4828245	291.408	1.864	33.356665	-89.8496881
MS	28015950202	256110259	2524571	98.885	0.975	33.3915841	-90.0711056
MS	28017950100	167130323	572181	64.529	0.221	34.0138193	-88.7972205
MS	28017950200	347190327	2980348	134.051	1.151	33.9968754	-89.0220518
MS	28017950300	85715535	241399	33.095	0.093	33.9070463	-88.9961842
MS	28017950401	359272742	1629246	138.716	0.629	33.8973722	-88.8208921
MS	28017950402	340299481	957593	131.39	0.37	33.8124743	-89.0517756
MS	28019950100	505627746	2163079	195.224	0.835	33.4399817	-89.2654503
MS	28019950200	566360087	2076936	218.673	0.802	33.2717478	-89.23136
MS	28019950300	11137502	55070	4.3	0.021	33.3165404	-89.1620717
MS	28021950100	762079658	29400180	294.241	11.351	32.0192793	-90.8974683
MS	28021950200	4416367	0	1.705	0.	31.9553773	-90.980306
MS	28021950300	495904000	6310954	191.47	2.437	31.8884423	-90.9610445
MS	28023950100	909372521	686583	351.111	0.265	32.0680727	-88.5797918
MS	28023950201	213090657	1039730	82.275	0.401	32.1769764	-88.8101388
MS	28023950202	180104876	1020692	69.539	0.394	32.0845833	-88.7970354
MS	28023950300	437813073	426513	169.041	0.165	31.9314876	-88.8105891
MS	28023950400	50791907	1900413	19.611	0.734	32.0107258	-88.7160309
MS	28025950100	359782408	1705771	138.913	0.659	33.6871491	-88.7662359
MS	28025950200	431705014	1128116	166.682	0.436	33.6719591	-88.9218348
MS	28025950300	5538762	0	2.139	0.	33.609538	-88.6543274
MS	28025950400	7740277	41946	2.989	0.016	33.6058743	-88.6372521
MS	28025950500	257315735	12501086	99.35	4.827	33.5925747	-88.5758924
MS	28027950100	470937764	52591361	181.83	20.306	34.371879	-90.5479768
MS	28027950200	477651340	24247215	184.422	9.362	34.1940195	-90.7223964
MS	28027950300	459846295	686866	177.548	0.265	34.1109232	-90.5352536
MS	28027950400	9741848	0	3.761	0.	34.2112468	-90.5752254
MS	28027950500	7494781	0	2.894	0.	34.1931205	-90.5941012
MS	28027950600	1948314	0	0.752	0.	34.1947465	-90.5684835
MS	28027950700	4906148	0	1.894	0.	34.1931654	-90.5520813
MS	28029950101	11722082	41371	4.526	0.016	31.9780665	-90.344544
MS	28029950102	10868599	133666	4.196	0.052	31.9970868	-90.3532745
MS	28029950200	310354336	1201240	119.828	0.464	31.9374271	-90.2704765
MS	28029950300	718004036	2309994	277.223	0.892	31.952843	-90.557816
MS	28029950400	19833642	167079	7.658	0.065	31.8633418	-90.3912315
MS	28029950501	114930170	96257	44.375	0.037	31.744666	-90.3484261
MS	28029950502	320699908	1118233	123.823	0.432	31.8068109	-90.2526605
MS	28029950600	506745999	576940	195.656	0.223	31.7699361	-90.5559143
MS	28031950100	321715382	625422	124.215	0.241	31.7052693	-89.4894983
MS	28031950200	13086253	45203	5.053	0.017	31.6397466	-89.5675812
MS	28031950300	301084207	1050095	116.249	0.405	31.7014637	-89.6643125
MS	28031950401	205588783	880741	79.378	0.34	31.5860676	-89.553864
MS	28031950402	230310326	279252	88.923	0.108	31.4857535	-89.4961233
MS	28033070101	181511385	17049132	70.082	6.583	34.9280084	-90.1980807
MS	28033070102	29763150	292553	11.492	0.113	34.954413	-90.1275879
MS	28033070210	16391359	447960	6.329	0.173	34.9712666	-90.0826077
MS	28033070221	39698736	396329	15.328	0.153	34.9119396	-90.0712052
MS	28033070222	26694128	121937	10.307	0.047	34.9106054	-90.0218313
MS	28033070310	5589106	34749	2.158	0.013	34.9472972	-90.0060052
MS	28033070322	9159906	91354	3.537	0.035	34.9435765	-90.0317825
MS	28033070323	4978762	345	1.922	0.	34.9729494	-90.0505192
MS	28033070324	2216356	0	0.856	0.	34.9549949	-90.0531292
MS	28033070325	1695044	0	0.654	0.	34.9558476	-90.0400295
MS	28033070411	1129844	0	0.436	0.	34.991148	-90.0149971
MS	28033070412	4134977	0	1.597	0.	34.9761606	-90.0082691
MS	28033070421	6982165	132408	2.696	0.051	34.9881379	-90.0364747
MS	28033070422	2004072	0	0.774	0.	34.9725681	-90.0233458
