USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
AR	05001480100	688205951	19346373	265.718	7.47	34.3424381	-91.2160207
AR	05001480200	717619996	33286678	277.075	12.852	34.3790548	-91.555195
AR	05001480300	41069396	4387333	15.857	1.694	34.5113876	-91.4992086
AR	05001480400	60779353	1135095	23.467	0.438	34.5308197	-91.5548599
AR	05001480500	13960566	55955	5.39	0.022	34.4777411	-91.5623826
AR	05001480600	133400347	1701960	51.506	0.657	34.3069023	-91.3895216
AR	05001480700	154690647	2273640	59.726	0.878	34.2888783	-91.2884998
AR	05001480800	759905169	58511152	293.401	22.591	34.1138869	-91.3344995
AR	05003960100	782142365	8316947	301.987	3.211	33.2657179	-91.6105922
AR	05003960200	416226450	8309946	160.706	3.208	33.3023388	-91.9136334
AR	05003960300	212745214	564573	82.141	0.218	33.2041909	-91.8292892
AR	05003960400	747517032	5766228	288.618	2.226	33.0776691	-91.7455221
AR	05003960500	26538793	47186	10.247	0.018	33.1590496	-91.9375501
AR	05003960600	58952665	445455	22.762	0.172	33.1138762	-91.964771
AR	05003960700	152889825	15205669	59.031	5.871	33.1404174	-92.0617259
AR	05005950100	27188915	0	10.498	0.	36.3083026	-92.3815903
AR	05005950200	19964620	0	7.708	0.	36.3387655	-92.3416706
AR	05005950300	21090527	63090	8.143	0.024	36.3680378	-92.3968766
AR	05005950400	26022055	0	10.047	0.	36.3324575	-92.4242953
AR	05005950500	621272650	18171532	239.875	7.016	36.1504202	-92.3214863
AR	05005950600	165324479	28822876	63.832	11.129	36.3243194	-92.2308491
AR	05005950700	156526514	22744741	60.435	8.782	36.4212464	-92.2430726
AR	05005950801	162839729	5645866	62.873	2.18	36.4282289	-92.48517
AR	05005950802	122663051	7620328	47.36	2.942	36.4523841	-92.343262
AR	05005950900	111782493	1847813	43.159	0.713	36.318364	-92.5138407
AR	05007020102	60174644	9306	23.234	0.004	36.4083637	-94.1178523
AR	05007020103	43301355	10702	16.719	0.004	36.4685562	-94.1088498
AR	05007020104	74868303	4075	28.907	0.002	36.4779482	-94.0022758
AR	05007020201	14700134	5025	5.676	0.002	36.3525266	-94.1076928
AR	05007020203	13788820	126388	5.324	0.049	36.3221093	-94.0826549
AR	05007020205	14341881	13561	5.537	0.005	36.2935951	-94.0906228
AR	05007020206	7988667	15582	3.084	0.006	36.3004942	-94.1212477
AR	05007020301	4383648	20702	1.693	0.008	36.3455815	-94.1363429
AR	05007020302	2941434	23692	1.136	0.009	36.3406637	-94.1544004
AR	05007020304	5942923	5185	2.295	0.002	36.3643455	-94.1478092
AR	05007020305	4506132	18732	1.74	0.007	36.3462019	-94.1683152
AR	05007020401	9377087	10570	3.621	0.004	36.3210842	-94.1714923
AR	05007020402	3902422	1203	1.507	0.	36.3225266	-94.1371533
AR	05007020404	4726303	17916	1.825	0.007	36.2985837	-94.1308125
AR	05007020405	12697151	66188	4.902	0.026	36.2993516	-94.1659306
AR	05007020501	14951222	14057	5.773	0.005	36.3844137	-94.1855884
AR	05007020503	6311086	71714	2.437	0.028	36.3457131	-94.1928451
AR	05007020504	4287739	1033	1.656	0.	36.3608133	-94.1911898
AR	05007020604	7947896	63487	3.069	0.025	36.3598718	-94.2274971
AR	05007020605	8002372	3814	3.09	0.001	36.3956774	-94.2134327
AR	05007020606	9405450	3678	3.631	0.001	36.393386	-94.228004
AR	05007020607	11997652	71741	4.632	0.028	36.3344695	-94.218848
