USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
DC	11001000101	199776	5261	0.077	0.002	38.9076994	-77.0547765
DC	11001000102	1706484	516665	0.659	0.199	38.905422	-77.0620045
DC	11001000201	505004	0	0.195	0.	38.9092171	-77.0743418
DC	11001000202	776435	439661	0.3	0.17	38.9063048	-77.0696362
DC	11001000300	1042156	2305	0.402	0.001	38.9179099	-77.0748728
DC	11001000400	1541238	69	0.595	0.	38.9227989	-77.0649214
DC	11001000501	940249	29503	0.363	0.011	38.9264548	-77.051434
DC	11001000502	581507	0	0.225	0.	38.9283547	-77.0595624
DC	11001000600	1441865	71	0.557	0.	38.9368114	-77.0675114
DC	11001000702	308967	0	0.119	0.	38.9241271	-77.077893
DC	11001000703	232137	0	0.09	0.	38.9290941	-77.0790462
DC	11001000704	332346	0	0.128	0.	38.9300215	-77.0752384
DC	11001000802	1688582	669985	0.652	0.259	38.9126765	-77.0896118
DC	11001000803	308154	0	0.119	0.	38.9336425	-77.0835217
DC	11001000804	2566768	167978	0.991	0.065	38.9221746	-77.0918347
DC	11001000902	1867106	307257	0.721	0.119	38.9285125	-77.1077517
DC	11001000903	928101	0	0.358	0.	38.9376821	-77.093331
DC	11001000904	2024710	75151	0.782	0.029	38.9366243	-77.1036767
DC	11001001002	889722	0	0.344	0.	38.9384216	-77.0788872
DC	11001001003	982460	0	0.379	0.	38.9492362	-77.0930741
DC	11001001004	1471925	0	0.568	0.	38.9487665	-77.0853886
DC	11001001100	1676650	0	0.647	0.	38.9572432	-77.0776732
DC	11001001200	1219204	0	0.471	0.	38.9462221	-77.0705215
DC	11001001301	2855501	26550	1.103	0.01	38.9519215	-77.0520508
DC	11001001303	889581	5274	0.343	0.002	38.9446266	-77.0589323
DC	11001001304	707155	9432	0.273	0.004	38.9367508	-77.0554702
DC	11001001401	788095	0	0.304	0.	38.9653036	-77.0706075
DC	11001001402	895209	0	0.346	0.	38.9606051	-77.0630933
DC	11001001500	4684714	39895	1.809	0.015	38.9741576	-77.0558797
DC	11001001600	2667590	7820	1.03	0.003	38.9849725	-77.0382324
DC	11001001702	939295	0	0.363	0.	38.9717231	-77.0160682
DC	11001001803	1136289	31909	0.439	0.012	38.9672412	-77.0419173
DC	11001001804	601755	0	0.232	0.	38.9670945	-77.0304334
DC	11001001901	769304	0	0.297	0.	38.9646853	-77.0236327
DC	11001001902	877346	0	0.339	0.	38.9639299	-77.0156458
DC	11001002001	632724	1132	0.244	0.	38.9597034	-77.0351061
DC	11001002002	849376	0	0.328	0.	38.9525009	-77.0310824
DC	11001002101	600992	0	0.232	0.	38.9559119	-77.0241312
DC	11001002102	725975	0	0.28	0.	38.9557854	-77.0142356
DC	11001002201	415173	0	0.16	0.	38.9491337	-77.0232932
DC	11001002202	698895	566	0.27	0.	38.9479653	-77.0118821
DC	11001002301	407679	0	0.157	0.	38.942552	-77.0165915
DC	11001002302	2010924	5298	0.776	0.002	38.934127	-77.0095843
DC	11001002400	556408	0	0.215	0.	38.9417822	-77.0224058
DC	11001002501	543460	0	0.21	0.	38.9446515	-77.0317348
DC	11001002503	292105	0	0.113	0.	38.9386375	-77.0271734
DC	11001002504	311721	0	0.12	0.	38.9394498	-77.0329275
DC	11001002600	2106150	60195	0.813	0.023	38.9464323	-77.0404553
DC	11001002702	479022	7175	0.185	0.003	38.930168	-77.0421774
DC	11001002703	163863	0	0.063	0.	38.9334921	-77.0397435
DC	11001002704	295339	2427	0.114	0.001	38.9345766	-77.0427534
DC	11001002801	171910	0	0.066	0.	38.9349477	-77.0345166
DC	11001002802	229696	0	0.089	0.	38.9294344	-77.0346327
DC	11001002900	300632	0	0.116	0.	38.9338478	-77.0299131
DC	11001003000	210636	0	0.081	0.	38.9288689	-77.0299525
DC	11001003100	296819	0	0.115	0.	38.930617	-77.0254235
DC	11001003200	447929	0	0.173	0.	38.9322375	-77.0211591
DC	11001003301	442120	0	0.171	0.	38.9204778	-77.0114293
DC	11001003302	204237	0	0.079	0.	38.9139237	-77.0111677
DC	11001003400	911458	159593	0.352	0.062	38.9221674	-77.0177044
DC	11001003500	382021	0	0.147	0.	38.9223765	-77.024341
DC	11001003600	305616	0	0.118	0.	38.9236744	-77.0296273
DC	11001003701	172840	0	0.067	0.	38.9214487	-77.0342887
DC	11001003702	119532	0	0.046	0.	38.9249042	-77.0343972
DC	11001003801	148928	0	0.058	0.	38.9197759	-77.0389415
DC	11001003802	207186	0	0.08	0.	38.922971	-77.0393505
DC	11001003901	120715	0	0.047	0.	38.9254851	-77.0401076
DC	11001003902	266513	11205	0.103	0.004	38.9257717	-77.0452397
DC	11001004001	271037	2414	0.105	0.001	38.9208772	-77.0462939
DC	11001004002	194755	0	0.075	0.	38.9181186	-77.0437209
DC	11001004100	788701	7303	0.305	0.003	38.9159337	-77.0516151
DC	11001004201	204529	0	0.079	0.	38.9162076	-77.0388456
DC	11001004202	207646	0	0.08	0.	38.9134023	-77.0430254
DC	11001004300	236694	0	0.091	0.	38.916804	-77.0341511
DC	11001004401	246895	0	0.095	0.	38.9186825	-77.0282129
DC	11001004402	274746	0	0.106	0.	38.9155152	-77.0270354
DC	11001004600	437422	0	0.169	0.	38.9097456	-77.0133001
DC	11001004702	326419	0	0.126	0.	38.9008601	-77.0136108
DC	11001004703	124124	0	0.048	0.	38.9034762	-77.0170713
DC	11001004704	198509	0	0.077	0.	38.904566	-77.0114767
DC	11001004801	317222	0	0.122	0.	38.9117413	-77.0195344
DC	11001004802	288793	0	0.112	0.	38.9062118	-77.0188917
DC	11001004901	271866	0	0.105	0.	38.9113296	-77.0244761
DC	11001004902	263878	0	0.102	0.	38.9058867	-77.0243932
DC	11001005001	200969	0	0.078	0.	38.9119619	-77.0295088
DC	11001005003	94136	0	0.036	0.	38.9074041	-77.0307609
DC	11001005004	143156	0	0.055	0.	38.907252	-77.0283862
DC	11001005202	246292	0	0.095	0.	38.911127	-77.0344946
DC	11001005203	93419	0	0.036	0.	38.9077655	-77.0331441
DC	11001005302	117635	0	0.045	0.	38.9124517	-77.0386443
DC	11001005303	168769	0	0.065	0.	38.909613	-77.0391656
DC	11001005501	164749	0	0.064	0.	38.9052766	-77.0494324
DC	11001005502	251302	0	0.097	0.	38.9101768	-77.0463615
DC	11001005503	213338	4682	0.082	0.002	38.9062488	-77.0523495
DC	11001005601	185309	1275	0.072	0.	38.901567	-77.0524317
DC	11001005602	273491	6261	0.106	0.002	38.8988888	-77.0554558
DC	11001005801	232951	0	0.09	0.	38.8975634	-77.0205095
DC	11001005802	682488	0	0.264	0.	38.8979674	-77.0265766
DC	11001005900	641993	0	0.248	0.	38.8959944	-77.0149475
DC	11001006400	691410	243648	0.267	0.094	38.8688572	-77.0114342
DC	11001006500	509297	0	0.197	0.	38.883848	-77.0033314
DC	11001006600	285156	0	0.11	0.	38.8877585	-76.9982439
DC	11001006700	428358	0	0.165	0.	38.8875984	-76.989959
DC	11001006801	244750	0	0.094	0.	38.8877413	-76.9801087
DC	11001006802	280108	0	0.108	0.	38.8832158	-76.9814483
DC	11001006804	1542277	477741	0.595	0.184	38.8863842	-76.9704836
DC	11001006900	398513	0	0.154	0.	38.8836933	-76.9873112
DC	11001007000	439473	0	0.17	0.	38.8812697	-76.9959451
DC	11001007100	602223	149901	0.233	0.058	38.8771811	-76.986838
DC	11001007201	781458	312419	0.302	0.121	38.8738481	-76.9999179
DC	11001007202	183977	0	0.071	0.	38.8786426	-77.0070741
DC	11001007203	384178	0	0.148	0.	38.8781777	-76.9994857
DC	11001007301	4684643	5139082	1.809	1.984	38.834928	-77.024445
DC	11001007304	1232841	8983	0.476	0.003	38.8417979	-76.9855591
DC	11001007401	1209112	200980	0.467	0.078	38.8675208	-76.9991203
DC	11001007403	330904	0	0.128	0.	38.8484714	-76.9743805
DC	11001007404	826388	0	0.319	0.	38.8503364	-76.9820932
DC	11001007406	360152	0	0.139	0.	38.8555543	-76.9895582
DC	11001007407	608700	0	0.235	0.	38.8574823	-76.9850206
DC	11001007408	372349	0	0.144	0.	38.8525662	-76.9706266
DC	11001007409	404873	5767	0.156	0.002	38.8445818	-76.975165
DC	11001007502	648317	0	0.25	0.	38.8568592	-76.9697843
DC	11001007503	515179	0	0.199	0.	38.8640724	-76.98709
DC	11001007504	764081	0	0.295	0.	38.8609955	-76.9796257
DC	11001007601	1115359	141529	0.431	0.055	38.8716327	-76.9798185
DC	11001007603	1226615	0	0.474	0.	38.859109	-76.9585469
DC	11001007604	1369581	0	0.529	0.	38.8660921	-76.9638007
DC	11001007605	453794	0	0.175	0.	38.8660433	-76.9752566
DC	11001007703	1017741	1059	0.393	0.	38.8863224	-76.947455
DC	11001007707	842851	0	0.325	0.	38.8779453	-76.9353432
DC	11001007708	745809	129100	0.288	0.05	38.8871944	-76.9606349
DC	11001007709	828872	82685	0.32	0.032	38.879862	-76.9675363
DC	11001007803	986677	3755	0.381	0.001	38.8962674	-76.9407751
DC	11001007804	838428	5705	0.324	0.002	38.8942107	-76.9313427
DC	11001007806	671434	0	0.259	0.	38.9055926	-76.932552
DC	11001007807	522749	0	0.202	0.	38.8985783	-76.9210632
DC	11001007808	936852	7722	0.362	0.003	38.8922212	-76.9192026
DC	11001007809	535254	0	0.207	0.	38.9015402	-76.9321955
DC	11001007901	402041	0	0.155	0.	38.8965543	-76.9804319
DC	11001007903	247945	0	0.096	0.	38.8964252	-76.9743021
DC	11001008001	322795	0	0.125	0.	38.8961726	-76.9866524
DC	11001008002	578961	0	0.224	0.	38.8915403	-76.9827594
DC	11001008100	290284	0	0.112	0.	38.893171	-76.9925272
DC	11001008200	338424	0	0.131	0.	38.8918309	-77.000604
DC	11001008301	303970	0	0.117	0.	38.8970372	-77.0008008
DC	11001008302	260891	0	0.101	0.	38.8963061	-76.9966527
DC	11001008402	274180	0	0.106	0.	38.898596	-76.991021
DC	11001008410	219939	0	0.085	0.	38.9015543	-76.9911234
DC	11001008701	382686	0	0.148	0.	38.9141018	-77.0062645
DC	11001008702	486411	0	0.188	0.	38.9150961	-77.0013085
DC	11001008802	468578	0	0.181	0.	38.9039498	-76.9866786
DC	11001008803	1168294	0	0.451	0.	38.9104603	-76.9913622
DC	11001008804	778052	0	0.3	0.	38.9102408	-76.9812669
DC	11001008903	305651	0	0.118	0.	38.9041579	-76.977718
DC	11001008904	449343	0	0.173	0.	38.9009808	-76.9748514
DC	11001009000	1427114	31550	0.551	0.012	38.9226934	-76.9545101
DC	11001009102	1816287	0	0.701	0.	38.9187926	-76.9888946
DC	11001009201	629781	0	0.243	0.	38.9287161	-76.9990184
DC	11001009203	581087	0	0.224	0.	38.9219735	-77.0054956
DC	11001009204	308465	0	0.119	0.	38.9234161	-76.9987071
DC	11001009301	1109091	0	0.428	0.	38.9307613	-76.9864892
DC	11001009302	391905	0	0.151	0.	38.9251636	-76.9907773
DC	11001009400	1582882	0	0.611	0.	38.9368061	-76.9742464
DC	11001009503	1423609	0	0.55	0.	38.9434458	-76.9845276
DC	11001009504	1033168	0	0.399	0.	38.9409032	-76.9931121
DC	11001009505	1033208	0	0.399	0.	38.9618925	-77.0051999
DC	11001009507	295290	0	0.114	0.	38.9584945	-76.9977787
DC	11001009508	962212	0	0.372	0.	38.9536826	-76.9985582
DC	11001009509	648848	0	0.251	0.	38.949214	-76.9950319
DC	11001009510	841510	0	0.325	0.	38.9455978	-77.0046255
DC	11001009511	719468	0	0.278	0.	38.9372097	-77.0010516
DC	11001009601	1905262	189666	0.736	0.073	38.90913	-76.9490606
DC	11001009602	1306709	67073	0.505	0.026	38.9035769	-76.9523616
DC	11001009603	607400	0	0.235	0.	38.8918285	-76.9477195
DC	11001009604	503381	65762	0.194	0.025	38.8931572	-76.9585043
DC	11001009700	403051	3427	0.156	0.001	38.8354183	-76.9870248
DC	11001009801	431384	7884	0.167	0.003	38.8328939	-76.9963306
DC	11001009802	200745	0	0.078	0.	38.8307312	-76.9965578
DC	11001009803	531060	3756	0.205	0.001	38.8356929	-77.0043421
DC	11001009804	518363	5609	0.2	0.002	38.8420148	-76.997258
DC	11001009807	1037012	0	0.4	0.	38.8292038	-77.0117577
DC	11001009810	398419	14058	0.154	0.005	38.826037	-77.0037886
DC	11001009811	467511	0	0.181	0.	38.826651	-76.9984594
DC	11001009901	2102150	0	0.812	0.	38.8753461	-76.9553332
DC	11001009902	1294556	0	0.5	0.	38.8717861	-76.9445542
DC	11001009903	383679	0	0.148	0.	38.888318	-76.9212121
DC	11001009904	426198	0	0.165	0.	38.8851712	-76.9311353
DC	11001009905	431558	0	0.167	0.	38.8843295	-76.9250522
DC	11001009906	252684	0	0.098	0.	38.8879464	-76.9359151
DC	11001009907	466954	0	0.18	0.	38.8827718	-76.9388146
DC	11001010100	579230	0	0.224	0.	38.9026971	-77.0318472
DC	11001010201	174883	0	0.068	0.	38.8779576	-77.0184625
DC	11001010202	1069487	136359	0.413	0.053	38.8843563	-77.024577
DC	11001010300	1084591	0	0.419	0.	38.9761556	-77.0271875
DC	11001010400	2602393	7006	1.005	0.003	38.8512668	-77.0009082
DC	11001010500	749891	0	0.29	0.	38.8818529	-77.0133789
DC	11001010601	224811	0	0.087	0.	38.907653	-77.0063018
DC	11001010602	542512	0	0.209	0.	38.9033936	-76.9994636
DC	11001010603	464270	0	0.179	0.	38.9011144	-77.0063567
DC	11001010700	891588	0	0.344	0.	38.9039988	-77.0419809
DC	11001010800	661580	0	0.255	0.	38.8973521	-77.044612
