USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
IN	18001030100	201079702	343812	77.637	0.133	40.8835444	-84.9286621
IN	18001030200	24325604	178130	9.392	0.069	40.8364217	-84.950076
IN	18001030300	24624667	52005	9.508	0.02	40.8151602	-84.9116931
IN	18001030400	187280550	66399	72.309	0.026	40.7812075	-84.9468488
IN	18001030500	217367764	336239	83.926	0.13	40.702854	-84.9342356
IN	18001030600	9182289	23133	3.545	0.009	40.6592117	-84.9532843
IN	18001030700	213952349	1694132	82.607	0.654	40.6101769	-84.9322265
IN	18003000100	1892709	0	0.731	0.	41.1031582	-85.1257316
IN	18003000300	1325344	0	0.512	0.	41.0934445	-85.1216845
IN	18003000400	3130562	20033	1.209	0.008	41.0850371	-85.0966573
IN	18003000500	2033875	0	0.785	0.	41.0951967	-85.1373216
IN	18003000600	857181	0	0.331	0.	41.0851354	-85.1499177
IN	18003000701	1497460	0	0.578	0.	41.0951819	-85.1480042
IN	18003000704	3806979	61597	1.47	0.024	41.1103622	-85.1612305
IN	18003000800	2668998	39796	1.031	0.015	41.0966772	-85.1622523
IN	18003000900	2038752	36050	0.787	0.014	41.0881903	-85.1690243
IN	18003001000	2032290	0	0.785	0.	41.078294	-85.1691787
IN	18003001100	872203	11113	0.337	0.004	41.075319	-85.1548327
IN	18003001200	1054580	0	0.407	0.	41.0773468	-85.1441406
IN	18003001300	1560517	0	0.603	0.	41.0780686	-85.1334488
IN	18003001600	4175354	0	1.612	0.	41.0653724	-85.0939589
IN	18003001700	1562668	0	0.603	0.	41.0646376	-85.1187496
IN	18003002000	1460262	0	0.564	0.	41.0655582	-85.1449843
IN	18003002100	1194909	0	0.461	0.	41.0650833	-85.1563431
IN	18003002200	7442748	0	2.874	0.	41.0596212	-85.1755898
IN	18003002300	2660837	0	1.027	0.	41.0360784	-85.1196393
IN	18003002500	1194241	0	0.461	0.	41.0526607	-85.1522354
IN	18003002600	1127340	0	0.435	0.	41.0538225	-85.1424382
IN	18003002800	963391	0	0.372	0.	41.0570562	-85.1209457
IN	18003002900	1607743	0	0.621	0.	41.057167	-85.1012558
IN	18003003000	2105035	0	0.813	0.	41.0500991	-85.1121628
IN	18003003100	1647995	0	0.636	0.	41.0409018	-85.1321766
IN	18003003200	3704661	0	1.43	0.	41.0406315	-85.1498304
IN	18003003301	1853251	0	0.716	0.	41.1379921	-85.1272968
IN	18003003304	4721412	0	1.823	0.	41.1204408	-85.135346
IN	18003003400	2289713	0	0.884	0.	41.103924	-85.1078768
IN	18003003500	2599483	0	1.004	0.	41.0965666	-85.0983403
IN	18003003600	6687670	0	2.582	0.	41.0173574	-85.1272577
IN	18003003700	4011926	15190	1.549	0.006	41.0376661	-85.1775739
IN	18003003800	3691315	0	1.425	0.	41.0162622	-85.17673
IN	18003003901	4013677	474821	1.55	0.183	41.0228368	-85.1607342
IN	18003003902	4305619	0	1.662	0.	41.0114731	-85.1479367
IN	18003004000	2268322	0	0.876	0.	41.0394666	-85.1046647
IN	18003004101	3660238	41631	1.413	0.016	41.1419313	-85.1070221
IN	18003004103	2196471	0	0.848	0.	41.1299428	-85.1062823
IN	18003004300	3754140	0	1.449	0.	41.0769854	-85.1089908
IN	18003004400	1904706	11902	0.735	0.005	41.0609502	-85.1338215
IN	18003010100	125686034	155792	48.528	0.06	41.228061	-84.8810095
IN	18003010201	41410384	230377	15.989	0.089	41.2262668	-85.0506894
IN	18003010202	47880456	2856323	18.487	1.103	41.2237759	-84.9909427
IN	18003010304	11189224	24830	4.32	0.01	41.1885916	-85.1083209
IN	18003010305	34443283	157826	13.299	0.061	41.2294193	-85.1076424
IN	18003010306	31552943	146351	12.183	0.057	41.2294322	-85.1625527
IN	18003010307	5870575	23944	2.267	0.009	41.1856693	-85.178713
IN	18003010308	8880364	0	3.429	0.	41.1918531	-85.1512959
IN	18003010400	94552658	138883	36.507	0.054	41.2275697	-85.2564856
IN	18003010500	92376324	225732	35.667	0.087	41.1400977	-85.2750279
IN	18003010601	17570823	6518	6.784	0.003	41.1058178	-85.2002547
IN	18003010602	16410294	6308	6.336	0.002	41.1540012	-85.2024147
IN	18003010603	7572336	34903	2.924	0.013	41.1621889	-85.1794507
IN	18003010604	5153217	748	1.99	0.	41.1365607	-85.1765116
IN	18003010705	4614882	0	1.782	0.	41.1532751	-85.1245537
IN	18003010706	7198757	0	2.779	0.	41.1480381	-85.1505875
IN	18003010707	9155694	0	3.535	0.	41.1703229	-85.1354835
IN	18003010803	5233911	0	2.021	0.	41.1273745	-85.0715283
IN	18003010804	2937583	0	1.134	0.	41.1242933	-85.0544868
IN	18003010807	4775367	0	1.844	0.	41.1523019	-85.068914
IN	18003010808	5824774	0	2.249	0.	41.1287752	-85.0259365
IN	18003010809	7002365	0	2.704	0.	41.113356	-85.0301375
IN	18003010811	7476825	0	2.887	0.	41.0893824	-85.0648509
IN	18003010812	9472308	1969	3.657	0.001	41.0953835	-85.0257881
IN	18003010813	9991003	6804	3.858	0.003	41.1600804	-85.0848662
IN	18003010815	16292574	6481	6.291	0.003	41.1622001	-85.0306704
IN	18003010816	6713727	0	2.592	0.	41.1450789	-85.042842
IN	18003010817	2916589	38397	1.126	0.015	41.1033958	-85.0713668
IN	18003010819	3031733	0	1.171	0.	41.1316828	-85.0890145
IN	18003010821	3545625	0	1.369	0.	41.1077594	-85.0874658
IN	18003010900	164593930	1626773	63.55	0.628	41.13605	-84.905438
IN	18003011000	160638871	27145	62.023	0.01	41.0484147	-84.8991415
IN	18003011100	3975164	12208	1.535	0.005	41.0749885	-85.0123716
IN	18003011201	9491061	14846	3.665	0.006	41.0701296	-85.0568896
IN	18003011202	7845093	0	3.029	0.	41.0549416	-85.0432831
IN	18003011204	7023589	10035	2.712	0.004	41.0409057	-85.0143653
IN	18003011205	3109554	0	1.201	0.	41.0615467	-85.0161692
IN	18003011302	4408098	0	1.702	0.	41.0280157	-85.0980381
IN	18003011303	7648407	0	2.953	0.	41.0419021	-85.069552
IN	18003011304	25790604	0	9.958	0.	41.0172665	-85.0527477
