USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
SC	45001950100	125601429	773688	48.495	0.299	34.4109638	-82.3305988
SC	45001950200	191264783	689285	73.848	0.266	34.3258512	-82.4084968
SC	45001950300	249842173	13103948	96.465	5.059	34.2530788	-82.5824673
SC	45001950401	58879900	103140	22.734	0.04	34.1917237	-82.4325901
SC	45001950402	141559857	267609	54.657	0.103	34.2340525	-82.3310257
SC	45001950500	285212526	784027	110.121	0.303	34.1266067	-82.3805235
SC	45001950600	219828069	37494719	84.876	14.477	34.1246804	-82.5850722
SC	45003020100	347118602	2981718	134.023	1.151	33.7594321	-81.5589626
SC	45003020200	248611850	1657406	95.99	0.64	33.6685537	-81.644129
SC	45003020301	94401149	693835	36.448	0.268	33.6617363	-81.7996383
SC	45003020303	18442388	298802	7.121	0.115	33.6124324	-81.7069457
SC	45003020304	49658973	627979	19.173	0.242	33.6125286	-81.775072
SC	45003020401	40235792	482652	15.535	0.186	33.5713136	-81.8377816
SC	45003020402	6686896	20846	2.582	0.008	33.5638739	-81.8069804
SC	45003020500	34707708	633728	13.401	0.245	33.5803686	-81.9174472
SC	45003020601	25071175	421268	9.68	0.163	33.5595196	-81.8939455
SC	45003020603	4023655	13157	1.554	0.005	33.5231953	-81.9376486
SC	45003020604	8809940	140235	3.402	0.054	33.5393479	-81.9336458
SC	45003020701	10294195	57641	3.975	0.022	33.5232476	-81.9710806
SC	45003020702	7362209	5142	2.843	0.002	33.5019859	-81.949843
SC	45003020801	7354638	472063	2.84	0.182	33.5217441	-81.992468
SC	45003020802	7500021	600280	2.896	0.232	33.4918418	-81.9708285
SC	45003020901	81048244	2745915	31.293	1.06	33.3899311	-81.8925725
SC	45003020903	45361687	546835	17.514	0.211	33.4642225	-81.8111655
SC	45003020904	48133949	707210	18.585	0.273	33.4678263	-81.8883582
SC	45003021001	24952648	371178	9.634	0.143	33.5096425	-81.8696608
SC	45003021003	8914988	114068	3.442	0.044	33.5158039	-81.9109295
SC	45003021004	8486574	272723	3.277	0.105	33.4944122	-81.915172
SC	45003021101	13790297	1315760	5.324	0.508	33.5131735	-81.8298967
SC	45003021102	13928780	58488	5.378	0.023	33.5290504	-81.8045716
SC	45003021201	17273799	359481	6.669	0.139	33.523545	-81.7639732
SC	45003021202	15956121	33033	6.161	0.013	33.5444665	-81.7431168
SC	45003021204	3329316	0	1.285	0.	33.5112963	-81.7215493
SC	45003021205	23913702	309634	9.233	0.12	33.4860371	-81.7256873
SC	45003021300	11182317	22589	4.318	0.009	33.567365	-81.7524723
SC	45003021401	3237025	0	1.25	0.	33.5634221	-81.7167473
SC	45003021402	6628816	1834	2.559	0.001	33.5763376	-81.7268707
SC	45003021500	8713356	20052	3.364	0.008	33.543834	-81.7090286
SC	45003021601	47117707	19013	18.192	0.007	33.5657978	-81.6608854
SC	45003021603	19006279	13715	7.338	0.005	33.5125123	-81.6714321
SC	45003021604	17126022	4104	6.612	0.002	33.4930243	-81.682856
SC	45003021700	287683703	2346219	111.075	0.906	33.6526535	-81.4246323
SC	45003021800	227303728	1226768	87.762	0.474	33.5855572	-81.330528
SC	45003021901	150089311	333545	57.95	0.129	33.5218497	-81.5155239
SC	45003021902	156242342	816419	60.326	0.315	33.4523095	-81.5203788
SC	45003022001	84000314	296872	32.433	0.115	33.4469771	-81.6399794
SC	45003022003	79516418	456211	30.701	0.176	33.4453821	-81.7617172
SC	45003022004	45790963	22681	17.68	0.009	33.3886733	-81.7340004
SC	45003022100	120035787	1729891	46.346	0.668	33.3147374	-81.8384557
SC	45003980100	294026697	1303654	113.524	0.503	33.3087672	-81.6897357
SC	45005970201	32661062	303824	12.611	0.117	33.0054564	-81.2749098
SC	45005970202	487619344	6089380	188.271	2.351	33.0356436	-81.4486751
SC	45005970500	536680287	4801109	207.213	1.854	32.9640817	-81.2813802
SC	45007000200	4972271	30517	1.92	0.012	34.5217065	-82.6449925
SC	45007000300	5901792	13371	2.279	0.005	34.5294088	-82.6282596
SC	45007000500	7926405	5516	3.06	0.002	34.4911674	-82.6046235
SC	45007000600	5911279	11064	2.282	0.004	34.4882458	-82.6349474
SC	45007000701	4021629	6433	1.553	0.002	34.4995249	-82.6676403
SC	45007000702	3690251	3218	1.425	0.001	34.487805	-82.654351
SC	45007000800	4606192	16031	1.778	0.006	34.5151855	-82.6815651
SC	45007000900	3778601	0	1.459	0.	34.5201103	-82.6661004
SC	45007001000	5866952	21893	2.265	0.008	34.5399178	-82.6809575
SC	45007001100	9584654	250043	3.701	0.097	34.541811	-82.6594195
SC	45007010103	30618966	216784	11.822	0.084	34.7838001	-82.514237
SC	45007010105	11069423	89974	4.274	0.035	34.7648503	-82.4780727
SC	45007010106	32209088	181819	12.436	0.07	34.7156561	-82.5238137
SC	45007010107	18103937	143432	6.99	0.055	34.7529117	-82.5459138
SC	45007010108	54637281	306945	21.096	0.119	34.7202274	-82.5916021
SC	45007010200	29705839	494972	11.469	0.191	34.7136393	-82.4741527
SC	45007010300	22736071	239480	8.778	0.092	34.6570078	-82.4929075
SC	45007010403	10439652	219004	4.031	0.085	34.6112769	-82.472371
SC	45007010404	13539724	543963	5.228	0.21	34.6285145	-82.4894025
SC	45007010405	24406782	86629	9.424	0.033	34.5941165	-82.5407663
SC	45007010406	62526195	495281	24.141	0.191	34.578313	-82.486275
SC	45007010501	61103216	649633	23.592	0.251	34.6288113	-82.5896747
SC	45007010502	33109181	104927	12.784	0.041	34.663788	-82.5407821
SC	45007010601	83639370	1055000	32.293	0.407	34.6647933	-82.6513834
SC	45007010602	82348845	1245718	31.795	0.481	34.6391549	-82.7049231
SC	45007010701	28553317	366643	11.024	0.142	34.6252008	-82.8013477
SC	45007010702	28383968	194036	10.959	0.075	34.6548612	-82.7603847
SC	45007010800	57581383	14681844	22.232	5.669	34.5681044	-82.8011252
SC	45007010900	93591710	36287278	36.136	14.011	34.5210374	-82.8802369
SC	45007011001	28482574	19790482	10.997	7.641	34.4896668	-82.7909983
SC	45007011002	15526245	1313214	5.995	0.507	34.5383252	-82.7246007
SC	45007011100	8924658	803472	3.446	0.31	34.5562299	-82.7000331
SC	45007011201	24260864	808387	9.367	0.312	34.5868486	-82.6411408
SC	45007011203	13704083	49918	5.291	0.019	34.5385766	-82.5977575
SC	45007011204	20899092	80814	8.069	0.031	34.5710485	-82.6006264
SC	45007011301	58155577	1123737	22.454	0.434	34.4349002	-82.5617819
SC	45007011302	64871251	291943	25.047	0.113	34.5002869	-82.5320872
SC	45007011401	18669494	116433	7.208	0.045	34.5142174	-82.5030071
SC	45007011402	53128888	826978	20.513	0.319	34.5256364	-82.441628
SC	45007011501	48598148	188478	18.764	0.073	34.4438334	-82.4480046
SC	45007011502	59043211	525076	22.797	0.203	34.479732	-82.377086
SC	45007011600	78783739	880616	30.419	0.34	34.3903398	-82.5160908
SC	45007011701	65823538	919809	25.415	0.355	34.3553019	-82.6173883
SC	45007011702	133603567	2479949	51.585	0.958	34.2935954	-82.7059773
SC	45007011800	48453168	163086	18.708	0.063	34.4155786	-82.6296198
SC	45007011901	16560198	79138	6.394	0.031	34.4562906	-82.6632407
SC	45007011902	15942434	388249	6.155	0.15	34.4625078	-82.6216538
SC	45007012001	11235514	54700	4.338	0.021	34.5165948	-82.713673
SC	45007012002	46775002	208898	18.06	0.081	34.4883851	-82.7367187
SC	45007012200	174735747	19486845	67.466	7.524	34.3981509	-82.7484339
SC	45007012300	8135969	2779	3.141	0.001	34.511284	-82.6076478
SC	45009960101	108727479	510656	41.98	0.197	33.3601948	-81.1655946
SC	45009960102	89743498	1136691	34.65	0.439	33.290125	-81.1401396
SC	45009960201	77254414	218341	29.828	0.084	33.3137837	-81.0102651
SC	45009960202	303112474	2768806	117.032	1.069	33.2239129	-80.9587942
SC	45009960300	225610604	727455	87.109	0.281	33.1710465	-81.1518703
SC	45009960400	214366635	324341	82.767	0.125	33.1236266	-80.9867065
SC	45011970101	76397882	116481	29.497	0.045	33.4451453	-81.3859845
SC	45011970102	175857859	2377331	67.899	0.918	33.3513832	-81.417113
SC	45011970200	177470237	1217763	68.522	0.47	33.3685118	-81.2762976
SC	45011970300	69121074	1240485	26.688	0.479	33.273181	-81.3721662
SC	45011970401	76584999	696147	29.57	0.269	33.2559071	-81.2660118
SC	45011970402	74052860	280913	28.592	0.108	33.2190444	-81.3038974
SC	45011970500	291819800	2827313	112.672	1.092	33.1776388	-81.381781
