USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
NJ	34001000100	1704430	466900	0.658	0.18	39.3566961	-74.4631274
NJ	34001000200	523371	670243	0.202	0.259	39.3457246	-74.458172
NJ	34001000300	365553	45436	0.141	0.018	39.3537125	-74.4543882
NJ	34001000400	676905	1019528	0.261	0.394	39.35058	-74.4515953
NJ	34001000500	273704	79771	0.106	0.031	39.3573721	-74.4481225
NJ	34001001100	289400	0	0.112	0.	39.3657436	-74.4341332
NJ	34001001200	1191458	88476	0.46	0.034	39.3700595	-74.4405589
NJ	34001001300	16929574	11257747	6.537	4.347	39.3911333	-74.4539789
NJ	34001001400	1962732	754589	0.758	0.291	39.3804669	-74.4270847
NJ	34001001500	300087	0	0.116	0.	39.368145	-74.426065
NJ	34001001900	279486	499303	0.108	0.193	39.3651329	-74.4097537
NJ	34001002300	709086	435188	0.274	0.168	39.3544331	-74.4396142
NJ	34001002400	1577406	901939	0.609	0.348	39.3594678	-74.4260414
NJ	34001002500	1086303	496767	0.419	0.192	39.3714673	-74.4159196
NJ	34001010101	10855267	12431081	4.191	4.8	39.4225085	-74.3669024
NJ	34001010102	2000187	1808973	0.772	0.698	39.3994994	-74.3708987
NJ	34001010104	1451785	1104417	0.561	0.426	39.387375	-74.3898958
NJ	34001010105	2586555	2809690	0.999	1.085	39.3838195	-74.4054167
NJ	34001010200	8905421	3864500	3.438	1.492	39.4167493	-74.4876323
NJ	34001010300	5421210	500254	2.093	0.193	39.4175708	-74.5079034
NJ	34001010401	90609728	1287653	34.985	0.497	39.5170731	-74.5715848
NJ	34001010403	9228185	0	3.563	0.	39.468013	-74.5552125
NJ	34001010501	99731441	47436715	38.507	18.315	39.4885116	-74.3985611
NJ	34001010503	9025223	45313	3.485	0.017	39.4868786	-74.5061275
NJ	34001010505	22052606	17511534	8.515	6.761	39.4313704	-74.4367916
NJ	34001010506	11068845	218684	4.274	0.084	39.4591909	-74.5127381
NJ	34001010600	28103807	1477247	10.851	0.57	39.5636873	-74.5958654
NJ	34001010700	146011642	1212813	56.375	0.468	39.5988121	-74.6744695
NJ	34001010800	19035779	283233	7.35	0.109	39.6884516	-74.7704338
NJ	34001010900	57606268	985851	22.242	0.381	39.6689307	-74.7342408
NJ	34001011000	17112186	122700	6.607	0.047	39.6123272	-74.7989679
NJ	34001011100	11786268	72953	4.551	0.028	39.6314167	-74.8272587
NJ	34001011201	21404102	634664	8.264	0.245	39.5967446	-74.8431626
NJ	34001011202	106395939	1297594	41.08	0.501	39.5130629	-74.8800477
NJ	34001011300	19613394	3293	7.573	0.001	39.5291701	-74.9452045
NJ	34001011401	116281135	3095943	44.896	1.195	39.5296238	-74.7257959
NJ	34001011403	28312462	194760	10.932	0.075	39.4665888	-74.6460306
NJ	34001011404	35975470	967711	13.89	0.374	39.4328788	-74.6861371
NJ	34001011500	106647810	1047741	41.177	0.405	39.4903439	-74.8102957
NJ	34001011600	188826608	8854861	72.906	3.419	39.3628779	-74.7712668
NJ	34001011702	30562626	851452	11.8	0.329	39.4337377	-74.5593035
NJ	34001011703	7858424	0	3.034	0.	39.4219881	-74.602894
NJ	34001011704	4838060	3467	1.868	0.001	39.4287639	-74.5908125
NJ	34001011803	7196281	207395	2.778	0.08	39.3533998	-74.5864578
NJ	34001011804	30846290	4499753	11.91	1.737	39.3455694	-74.6359818
NJ	34001011805	38665307	1778031	14.929	0.687	39.3791153	-74.688924
NJ	34001011806	11175752	2053	4.315	0.001	39.3675842	-74.6067253
NJ	34001011807	18375138	181936	7.095	0.07	39.398098	-74.5962785
NJ	34001011808	7629162	0	2.946	0.	39.4092021	-74.6408222
NJ	34001011901	1604718	0	0.62	0.	39.3988568	-74.5283755
NJ	34001011902	2967539	2010	1.146	0.001	39.4090082	-74.5159096
NJ	34001012000	6458575	1690373	2.494	0.653	39.394312	-74.5030813
NJ	34001012100	1822932	4009472	0.704	1.548	39.3665045	-74.5137053
NJ	34001012200	2969338	0	1.146	0.	39.3884458	-74.5368916
NJ	34001012302	4135043	89557	1.597	0.035	39.380229	-74.562458
NJ	34001012401	3250705	0	1.255	0.	39.3712411	-74.5429826
NJ	34001012402	1892796	0	0.731	0.	39.3628235	-74.5555014
NJ	34001012501	1707894	114132	0.659	0.044	39.3582785	-74.571254
NJ	34001012502	2050564	105122	0.792	0.041	39.3411288	-74.586106
NJ	34001012602	2863331	159099	1.106	0.061	39.326713	-74.5714906
NJ	34001012701	2685272	232867	1.037	0.09	39.328262	-74.6064539
NJ	34001012702	2572487	939009	0.993	0.363	39.3166932	-74.6162918
NJ	34001012801	2538377	298747	0.98	0.115	39.3223008	-74.5881109
NJ	34001012802	2590925	1694760	1.	0.654	39.3080289	-74.6108712
NJ	34001013000	2040565	1339295	0.788	0.517	39.3313547	-74.4991851
NJ	34001013101	829999	822542	0.32	0.318	39.3250051	-74.5068717
NJ	34001013102	797128	959115	0.308	0.37	39.3199166	-74.5122318
NJ	34001013201	1360584	820471	0.525	0.317	39.3497566	-74.4751329
NJ	34001013202	761907	610652	0.294	0.236	39.3426337	-74.4751972
NJ	34001013301	2029887	1873190	0.784	0.723	39.3404953	-74.4931336
NJ	34001013302	911754	758178	0.352	0.293	39.3385565	-74.4799839
NJ	34001013500	19771250	16316551	7.634	6.3	39.3300027	-74.5450741
NJ	34001983400	7259826	228790	2.803	0.088	39.4880591	-74.533973
NJ	34001990000	0	134532010	0.	51.943	39.3786158	-74.3585021
NJ	34003001001	3956704	22756	1.528	0.009	41.0362288	-74.125459
NJ	34003001002	4064748	30868	1.569	0.012	41.0311638	-74.1429597
NJ	34003002100	16578454	7426917	6.401	2.868	40.9687824	-73.9168962
NJ	34003002200	5873397	24988	2.268	0.01	41.0094214	-73.9419844
NJ	34003002300	7213199	22642	2.785	0.009	40.9920464	-73.9505506
NJ	34003003100	1243260	0	0.48	0.	40.9304752	-73.9866374
NJ	34003003200	1241016	0	0.479	0.	40.9253052	-73.9958947
NJ	34003003300	1789832	15019	0.691	0.006	40.9292543	-74.0049945
NJ	34003003401	755382	0	0.292	0.	40.9178709	-74.0120843
NJ	34003003402	1052665	0	0.406	0.	40.9153571	-74.0055605
NJ	34003003500	1418062	9362	0.548	0.004	40.9175862	-73.9884116
NJ	34003004001	844191	30480	0.326	0.012	40.8793539	-74.0295331
NJ	34003004002	1110295	78541	0.429	0.03	40.8718323	-74.0289908
NJ	34003005000	10221592	674547	3.947	0.26	40.8264308	-74.0623347
NJ	34003006101	362657	0	0.14	0.	40.8304459	-73.9869014
NJ	34003006102	407835	0	0.157	0.	40.8263462	-73.9904891
NJ	34003006201	637239	0	0.246	0.	40.8215255	-73.9866199
NJ	34003006202	331141	0	0.128	0.	40.8268422	-73.9809038
NJ	34003006301	317666	0	0.123	0.	40.8130503	-73.9938644
NJ	34003006302	418903	0	0.162	0.	40.8144344	-73.989388
NJ	34003007001	3529447	356174	1.363	0.138	40.9743993	-73.9745798
NJ	34003007002	4655526	11144	1.798	0.004	40.9732134	-73.951582
NJ	34003008001	3689599	597	1.425	0.	40.9403826	-73.9547427
NJ	34003008002	1657950	12206	0.64	0.005	40.9403515	-73.9716469
NJ	34003009100	5367610	17177	2.072	0.007	40.9541028	-73.9549208
NJ	34003009200	5017372	1031153	1.937	0.398	40.9627374	-73.99747
NJ	34003010100	1768883	0	0.683	0.	40.9459556	-73.9823234
NJ	34003010200	1013291	0	0.391	0.	40.9400177	-73.9949154
NJ	34003010300	2288205	7228	0.883	0.003	40.9470434	-73.9991367
NJ	34003011100	1294769	41454	0.5	0.016	40.9181154	-74.120437
NJ	34003011200	1142139	64419	0.441	0.025	40.9105072	-74.1264399
NJ	34003011300	2100025	105212	0.811	0.041	40.8964198	-74.1232243
NJ	34003011400	2308180	0	0.891	0.	40.9026932	-74.1124847
NJ	34003012001	8675776	820243	3.35	0.317	40.8149348	-74.0822348
NJ	34003012002	936988	32221	0.362	0.012	40.8457874	-74.1120331
NJ	34003013002	1175279	1896155	0.454	0.732	40.8450519	-73.9644827
NJ	34003013003	790925	1881230	0.305	0.726	40.8080633	-73.9837042
NJ	34003013004	548833	0	0.212	0.	40.8150656	-73.9848407
NJ	34003014000	5778027	493201	2.231	0.19	40.9749901	-74.0232476
NJ	34003015100	2846369	0	1.099	0.	40.8972149	-73.961185
NJ	34003015200	2026199	5573	0.782	0.002	40.9070229	-73.9757766
NJ	34003015300	1603857	0	0.619	0.	40.8963444	-73.9867428
NJ	34003015401	1170720	0	0.452	0.	40.8957936	-73.975734
NJ	34003015402	1404774	32317	0.542	0.012	40.8833929	-73.9841232
NJ	34003015500	3704990	21986	1.431	0.008	40.8799094	-73.9707474
NJ	34003016000	5506663	3238179	2.126	1.25	40.8846338	-73.9446545
NJ	34003017101	2081577	15180	0.804	0.006	40.9454492	-74.11176
NJ	34003017102	630836	0	0.244	0.	40.9405391	-74.1060448
NJ	34003017200	3192005	45608	1.232	0.018	40.9419962	-74.1345259
NJ	34003017301	1043019	71510	0.403	0.028	40.9283243	-74.1360952
NJ	34003017302	1072123	2877	0.414	0.001	40.9302044	-74.1267828
NJ	34003017400	2429904	88666	0.938	0.034	40.9355136	-74.1026947
NJ	34003017501	1715292	0	0.662	0.	40.9253933	-74.1138691
NJ	34003017502	1134937	6158	0.438	0.002	40.9244081	-74.0994955
NJ	34003018101	324385	0	0.125	0.	40.8125076	-73.9982783
NJ	34003018102	265978	0	0.103	0.	40.8191442	-73.9945744
NJ	34003018200	1594713	4243	0.616	0.002	40.8211103	-74.0030322
NJ	34003019102	827541	604126	0.32	0.233	40.8598925	-73.9552408
NJ	34003019103	826501	0	0.319	0.	40.8631054	-73.9727789
NJ	34003019104	582913	0	0.225	0.	40.8605397	-73.9673063
NJ	34003019202	755171	286034	0.292	0.11	40.8504916	-73.9630761
NJ	34003019203	275740	0	0.106	0.	40.8557254	-73.9749353
NJ	34003019204	438870	0	0.169	0.	40.8536228	-73.9784402
NJ	34003019303	888917	0	0.343	0.	40.8507415	-73.9849105
