USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
SD	46003973600	1834902863	11201379	708.46	4.325	43.7247191	-98.5775872
SD	46005956600	1441858321	10994119	556.705	4.245	44.4020766	-98.0433754
SD	46005956700	1642439981	1486878	634.15	0.574	44.4339447	-98.4868916
SD	46005956800	73488075	833765	28.374	0.322	44.3914101	-98.2395108
SD	46005956900	2265331	0	0.875	0.	44.3615183	-98.2158124
SD	46005957000	60986206	34443	23.547	0.013	44.3344849	-98.2650104
SD	46005957100	38974072	2485025	15.048	0.959	44.3219743	-98.1815641
SD	46007941000	22975180	0	8.871	0.	43.1789165	-101.7219926
SD	46007941200	3045233118	15044356	1175.771	5.809	43.1869121	-101.677181
SD	46009967600	651384183	32825374	251.501	12.674	43.0032449	-97.7636959
SD	46009967700	808202085	13974121	312.049	5.395	42.9735688	-98.0005692
SD	46011958600	933973675	6347395	360.609	2.451	44.3767751	-96.5957541
SD	46011958700	1033765724	26252745	399.139	10.136	44.3768834	-96.9578437
SD	46011958803	15553330	0	6.005	0.	44.2753963	-96.8086077
SD	46011958804	2037302	0	0.787	0.	44.3123984	-96.7976006
SD	46011958805	36893836	125188	14.245	0.048	44.3339133	-96.818806
SD	46011958900	16883890	0	6.519	0.	44.3333406	-96.7736112
SD	46011959000	12725535	216908	4.913	0.084	44.2768342	-96.7748038
SD	46013951300	65041484	303948	25.113	0.117	45.4952054	-98.5509575
SD	46013951400	43341620	16042	16.734	0.006	45.4950543	-98.4433705
SD	46013951500	1945715	0	0.751	0.	45.462374	-98.4844549
SD	46013951600	2386613	0	0.921	0.	45.4510842	-98.4837369
SD	46013951700	64584786	154551	24.936	0.06	45.4257462	-98.5480232
SD	46013951800	42912875	0	16.569	0.	45.4344593	-98.4305483
SD	46013951900	1232418788	661417	475.84	0.255	45.3498687	-98.278409
SD	46013952000	2984096323	45278611	1152.166	17.482	45.6979005	-98.36273
SD	46015973100	2033894958	69220714	785.291	26.726	43.7079975	-99.0605276
SD	46015973200	82699545	6550030	31.93	2.529	43.7956279	-99.2955395
SD	46017940200	1220933806	42362357	471.405	16.356	44.0443062	-99.2039983
SD	46019967600	5559281892	42647090	2146.451	16.466	44.8962264	-103.5014361
SD	46019967701	245197185	94108	94.671	0.036	44.6547121	-103.9358793
SD	46019967702	23019479	9290	8.888	0.004	44.6944054	-103.8106179
SD	46021964100	1900214169	96243697	733.677	37.16	45.7855747	-100.0021074
SD	46023940200	904142956	45091498	349.092	17.41	43.1448288	-98.4965417
SD	46023940300	818510155	5189002	316.029	2.003	43.0448435	-98.2289515
SD	46023970100	1118927801	87236524	432.02	33.682	43.3490353	-98.8977949
SD	46025955800	2479944305	25864874	957.512	9.986	44.8552107	-97.7249124
SD	46027965700	68858611	6056771	26.586	2.339	42.7672504	-96.92432
SD	46027965800	995138925	7921316	384.225	3.058	42.9270819	-96.9757397
SD	46027965900	3134731	0	1.21	0.	42.7831891	-96.9310376
SD	46029954100	709621094	3165467	273.986	1.222	44.973579	-97.0024955
SD	46029954301	6273905	35693	2.422	0.014	44.9024225	-97.0803625
SD	46029954302	8871282	0	3.425	0.	44.921424	-97.1066317
SD	46029954401	1822228	0	0.704	0.	44.8944263	-97.0988695
SD	46029954402	1746486	0	0.674	0.	44.8966513	-97.1169764
SD	46029954501	42634009	11489720	16.461	4.436	44.8616727	-97.1669678
SD	46029954502	31386794	20807753	12.119	8.034	44.9159055	-97.1811467
SD	46029954600	978481252	41110225	377.794	15.873	44.988587	-97.3231118
SD	46031941000	4997864984	37474733	1929.687	14.469	45.6721121	-101.3816587
SD	46031941100	1398613626	117812365	540.008	45.488	45.7812319	-100.6365766
SD	46033965100	3947635300	5445801	1524.191	2.103	43.6849428	-103.46225
SD	46033965200	84828571	44968	32.752	0.017	43.7759928	-103.6100393
SD	46035962600	976462423	243951	377.014	0.094	43.6644774	-98.1577026
SD	46035962700	85959817	3014692	33.189	1.164	43.768433	-98.0140156
SD	46035962801	2142888	0	0.827	0.	43.7130091	-98.030711
SD	46035962802	6404686	0	2.473	0.	43.7084624	-97.994931
SD	46035962900	57315272	145806	22.13	0.056	43.6833666	-98.0358776
SD	46037952700	1608744294	46526733	621.14	17.964	45.3773241	-97.7710899
SD	46037952800	55501814	1520324	21.429	0.587	45.3490297	-97.5246326
SD	46037952900	999531313	114092449	385.921	44.051	45.3542331	-97.3942908
SD	46039953600	1572683952	33297162	607.217	12.856	44.8736188	-96.5521016
SD	46039953700	40201761	2638259	15.522	1.019	44.7521341	-96.6904395
SD	46041941500	33462274	349803	12.92	0.135	45.0231296	-101.2084084
SD	46041941700	5929665197	369740099	2289.457	142.757	45.148049	-100.8379534
SD	46043969600	1118358780	4832944	431.801	1.866	43.3915064	-98.3584331
SD	46045962100	1416683438	15490859	546.985	5.981	45.4042536	-98.9574179
SD	46045962200	1499592483	49478825	578.996	19.104	45.4056943	-99.440304
SD	46047964100	4388978197	23887881	1694.594	9.223	43.2216189	-103.5126087
SD	46047964200	117313904	133267	45.295	0.051	43.4536977	-103.4540691
SD	46049961100	2542625555	62622903	981.713	24.179	45.0654764	-99.1535637
SD	46051953100	467757625	6539259	180.602	2.525	45.2714168	-96.7103613
SD	46051953300	1297179617	9226422	500.844	3.562	45.142757	-96.777102
SD	46053971100	949221800	28122199	366.497	10.858	43.313262	-99.3461735
SD	46053971200	1679485740	71778545	648.453	27.714	43.1087507	-99.0929785
SD	46055960100	4689279884	42452623	1810.541	16.391	44.2880971	-101.5408561
SD	46057955100	494832606	42653279	191.056	16.469	44.6600323	-96.9995736
SD	46057955200	818339537	37773162	315.963	14.584	44.6751346	-97.306063
SD	46059975600	3623453286	9166394	1399.023	3.539	44.5478628	-99.0068978
SD	46059975700	97409204	117900	37.61	0.046	44.516488	-98.9549346
SD	46061964100	1125562874	2003166	434.582	0.773	43.6806116	-97.7968454
SD	46063968700	6919333290	16954253	2671.57	6.546	45.5966105	-103.4738711
SD	46065977700	29153007	2785158	11.256	1.075	44.4033233	-100.3562361
SD	46065977800	43648231	158148	16.853	0.061	44.3812556	-100.2865377
SD	46065977900	14786614	6412957	5.709	2.476	44.3485312	-100.3102856
SD	46065978000	1832958346	143966998	707.709	55.586	44.3844521	-99.9756842
SD	46067968600	874292157	2861124	337.566	1.105	43.3548463	-97.5512517
SD	46067968700	343179644	627645	132.502	0.242	43.4374401	-97.9473988
SD	46067968800	888222863	155451	342.945	0.06	43.2773701	-97.8657068
SD	46069976700	2229019814	14541548	860.629	5.615	44.5371743	-99.4727359
SD	46071941200	2754937820	5082139	1063.687	1.962	43.5585181	-101.6502016
SD	46071961100	2072495687	14023957	800.195	5.415	43.8662804	-101.5809158
SD	46073974100	1362677265	16727973	526.133	6.459	44.0634099	-98.6231702
SD	46075091600	2511438728	3147180	969.672	1.215	43.951991	-100.6861382
SD	46077958100	1178729802	74527452	455.11	28.775	44.3803669	-97.3186217
SD	46077958200	976753775	7127654	377.127	2.752	44.3695187	-97.6990473
SD	46079960100	1062755814	12169127	410.332	4.699	44.0566945	-97.1837065
SD	46079960201	20321927	145607	7.846	0.056	43.9917296	-97.1049343
SD	46079960202	20720445	0	8.	0.	44.0220823	-97.1095296
SD	46079960300	354081713	19468311	136.712	7.517	43.985948	-96.9796629
SD	46081966101	475154905	209657	183.458	0.081	44.5077187	-103.705957
SD	46081966102	125872306	0	48.6	0.	44.3722023	-103.6587223
SD	46081966200	4868697	0	1.88	0.	44.4930066	-103.855618
