USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
OR	41001950100	2875398036	14489031	1110.197	5.594	44.6150082	-118.1527414
OR	41001950200	20004679	0	7.724	0.	44.778647	-117.8751526
OR	41001950300	1747508928	5231275	674.717	2.02	44.5605166	-117.5792357
OR	41001950400	5381655	178981	2.078	0.069	44.79115	-117.8172115
OR	41001950500	501035961	1304623	193.451	0.504	44.9044089	-117.7863816
OR	41001950600	2796667556	30628721	1079.799	11.826	44.851074	-117.2473647
OR	41003000101	3486073	0	1.346	0.	44.5453941	-123.2669718
OR	41003000102	5499245	252878	2.123	0.098	44.5290776	-123.2600147
OR	41003000202	13690267	0	5.286	0.	44.5379846	-123.3076795
OR	41003000401	1829644	0	0.706	0.	44.5888852	-123.2898753
OR	41003000402	7263750	0	2.805	0.	44.6023532	-123.2801269
OR	41003000500	18924312	0	7.307	0.	44.6322952	-123.2601965
OR	41003000600	27138019	717216	10.478	0.277	44.610372	-123.1979735
OR	41003000900	9591548	0	3.703	0.	44.5846545	-123.3116193
OR	41003001001	1639309	0	0.633	0.	44.5895553	-123.2587324
OR	41003001002	1656250	0	0.639	0.	44.5829828	-123.272064
OR	41003001101	669130	0	0.258	0.	44.5738237	-123.2789951
OR	41003001102	1566823	0	0.605	0.	44.5727663	-123.2672324
OR	41003010101	12208466	780776	4.714	0.301	44.6523384	-123.1106267
OR	41003010102	38920540	573984	15.027	0.222	44.6702229	-123.1514352
OR	41003010200	486761800	309173	187.94	0.119	44.6254144	-123.4048254
OR	41003010300	627552472	864234	242.299	0.334	44.4023107	-123.5185177
OR	41003010400	426428829	3633575	164.645	1.403	44.383458	-123.3333466
OR	41003010601	1284638	115816	0.496	0.045	44.5632977	-123.2632627
OR	41003010602	954875	0	0.369	0.	44.5636798	-123.2734269
OR	41003010702	3474423	0	1.341	0.	44.5647662	-123.2928736
OR	41003010800	8467467	37232	3.269	0.014	44.5405029	-123.3596186
OR	41003010900	49773946	386013	19.218	0.149	44.5832422	-123.360602
OR	41005020101	2328007	0	0.899	0.	45.4287181	-122.6918413
OR	41005020102	2446584	217055	0.945	0.084	45.427728	-122.6711637
OR	41005020201	2466224	1068664	0.952	0.413	45.414307	-122.6873633
OR	41005020202	3209230	1450	1.239	0.001	45.4172831	-122.7029414
OR	41005020302	3453237	0	1.333	0.	45.410702	-122.7334592
OR	41005020303	2097442	0	0.81	0.	45.4260425	-122.7163408
OR	41005020304	2433046	1260	0.939	0.	45.4253875	-122.7388948
OR	41005020401	4025095	42715	1.554	0.016	45.3932368	-122.7296011
OR	41005020403	4047327	115028	1.563	0.044	45.3913924	-122.7065764
OR	41005020404	3042613	601917	1.175	0.232	45.4044858	-122.6914809
OR	41005020503	2352120	18518	0.908	0.007	45.4041623	-122.6674282
OR	41005020504	6477845	3088	2.501	0.001	45.3853349	-122.6593179
OR	41005020505	3420546	634391	1.321	0.245	45.3922427	-122.6392883
OR	41005020506	10699242	0	4.131	0.	45.3717841	-122.6729314
