USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
IA	19001960100	707919425	1124009	273.329	0.434	41.4226701	-94.4754745
IA	19001960200	666068486	1098841	257.17	0.424	41.2403358	-94.4634803
IA	19001960300	100416281	375146	38.771	0.145	41.2964752	-94.5071226
IA	19003950100	879296736	4868680	339.498	1.88	41.0509146	-94.6680804
IA	19003950200	217389517	499196	83.935	0.193	40.9482672	-94.8079792
IA	19005960100	337814533	22288271	130.431	8.606	43.3464049	-91.2647941
IA	19005960200	562246559	4317858	217.085	1.667	43.3971626	-91.4741746
IA	19005960300	30633163	0	11.828	0.	43.2661193	-91.4897802
IA	19005960400	462543683	24485570	178.589	9.454	43.1719126	-91.2844216
IA	19005960500	261948623	0	101.139	0.	43.1793598	-91.5066847
IA	19007950100	408652017	1920634	157.781	0.742	40.7873042	-92.743312
IA	19007950200	315829174	46040084	121.942	17.776	40.8274886	-92.963839
IA	19007950300	18708147	19913	7.223	0.008	40.7504905	-92.8695054
IA	19007950400	17584953	601322	6.79	0.232	40.705031	-92.8797963
IA	19007950500	527223611	511654	203.562	0.198	40.6535381	-92.9104129
IA	19009070100	775844901	246138	299.555	0.095	41.7456949	-94.9089115
IA	19009070200	48664643	0	18.79	0.	41.7098511	-94.9351263
IA	19009070300	322752773	906122	124.616	0.35	41.554366	-94.8555498
IA	19011960100	232244737	2324813	89.67	0.898	42.2304022	-91.9403294
IA	19011960200	678201359	1716889	261.855	0.663	42.1446295	-92.1692343
IA	19011960300	30195167	576277	11.658	0.223	42.1596738	-92.0211328
IA	19011960400	265720691	832881	102.595	0.322	42.0989952	-91.9417642
IA	19011960500	277626347	0	107.192	0.	41.9634748	-91.928932
IA	19011960600	328462169	198598	126.82	0.077	41.932207	-92.14272
IA	19011960700	42245817	208438	16.311	0.08	41.8983696	-92.2665079
IA	19013000100	1907482	195175	0.736	0.075	42.501189	-92.3371673
IA	19013000200	1109206	0	0.428	0.	42.486804	-92.3427654
IA	19013000300	1388598	18229	0.536	0.007	42.4918108	-92.3591856
IA	19013000400	3119543	280551	1.204	0.108	42.5054531	-92.3636767
IA	19013000500	1752424	172600	0.677	0.067	42.5105066	-92.3520315
IA	19013000700	768881	35136	0.297	0.014	42.4969104	-92.3258594
IA	19013000800	10599143	286395	4.092	0.111	42.4868462	-92.2830681
IA	19013000900	7657518	596632	2.957	0.23	42.4697836	-92.3188999
IA	19013001000	1858726	0	0.718	0.	42.476333	-92.3303611
IA	19013001100	1301453	0	0.502	0.	42.4802947	-92.3473302
IA	19013001200	1298393	0	0.501	0.	42.473035	-92.3471794
IA	19013001301	2168998	24503	0.837	0.009	42.4644103	-92.3455235
IA	19013001302	2073896	0	0.801	0.	42.4635503	-92.3663873
IA	19013001400	3733883	13045	1.442	0.005	42.4806189	-92.3722092
IA	19013001501	7375167	144319	2.848	0.056	42.4692476	-92.3929119
IA	19013001502	5952201	73885	2.298	0.029	42.4932763	-92.3927251
IA	19013001503	6207941	393144	2.397	0.152	42.5111068	-92.3952779
IA	19013001600	20462849	1952007	7.901	0.754	42.5396045	-92.3863023
IA	19013001701	1587741	0	0.613	0.	42.5171543	-92.3364861
IA	19013001702	8729454	24014	3.37	0.009	42.5356127	-92.3475243
IA	19013001800	2329010	0	0.899	0.	42.5082572	-92.3210483
IA	19013001900	10092559	0	3.897	0.	42.509249	-92.2952693
IA	19013002000	11033376	680050	4.26	0.263	42.4656977	-92.2694016
IA	19013002200	3386204	293036	1.307	0.113	42.5345693	-92.4514583
IA	19013002301	2082401	3232	0.804	0.001	42.5177499	-92.4421021
IA	19013002303	1478649	16478	0.571	0.006	42.5149829	-92.4607817
IA	19013002304	1206258	1762	0.466	0.001	42.5226723	-92.4571981
IA	19013002400	3555663	81713	1.373	0.032	42.5173835	-92.4196365
IA	19013002500	4528274	4261	1.748	0.002	42.5042176	-92.427587
IA	19013002601	17458928	338249	6.741	0.131	42.4876279	-92.4407083
IA	19013002604	146066748	2022697	56.397	0.781	42.5922918	-92.4065173
IA	19013002605	16890449	1534	6.521	0.001	42.5206715	-92.4884947
IA	19013002606	99318197	1759057	38.347	0.679	42.5490042	-92.5099572
IA	19013002700	212885045	1711098	82.195	0.661	42.5358514	-92.2446623
IA	19013002800	345325292	1590821	133.331	0.614	42.479723	-92.1273342
IA	19013002901	7893631	536336	3.048	0.207	42.4443932	-92.2813309
IA	19013002902	133096691	3979901	51.389	1.537	42.3532551	-92.2326471
IA	19013003001	49887226	27205	19.262	0.011	42.4371054	-92.3661395
IA	19013003002	305735104	671659	118.045	0.259	42.3774156	-92.426807
IA	19015020100	402544904	1786190	155.423	0.69	42.1301973	-93.8255925
IA	19015020200	6437180	0	2.485	0.	42.0710035	-93.8689003
IA	19015020300	11013011	0	4.252	0.	42.0498826	-93.8722272
IA	19015020400	6505799	0	2.512	0.	42.0521266	-93.9032207
IA	19015020500	288681965	1661695	111.461	0.642	41.9574584	-93.8049752
IA	19015020600	409132016	1841414	157.967	0.711	41.9431358	-94.0186003
IA	19015020700	353172104	2920124	136.361	1.127	42.1149928	-94.0571865
IA	19017004000	6563876	0	2.534	0.	42.7355391	-92.5078252
IA	19017004100	28420822	1354129	10.973	0.523	42.7451323	-92.4636045
IA	19017004200	35053215	368101	13.534	0.142	42.7075287	-92.5133482
IA	19017004300	216778547	658784	83.699	0.254	42.6929248	-92.2288881
IA	19017004400	255308407	1379544	98.575	0.533	42.7799658	-92.3648873
