USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
MO	29001950100	656445345	2014642	253.455	0.778	40.2111844	-92.467935
MO	29001950200	701302822	990668	270.775	0.382	40.1667196	-92.7260826
MO	29001950300	21073794	0	8.137	0.	40.2253514	-92.614555
MO	29001950400	19673120	29331	7.596	0.011	40.2171982	-92.5593205
MO	29001950501	49119845	2364506	18.965	0.913	40.1747998	-92.6334454
MO	29001950502	19827018	69360	7.655	0.027	40.1639712	-92.5636888
MO	29001950900	1247701	0	0.482	0.	40.1948101	-92.5740876
MO	29001951000	672409	0	0.26	0.	40.1851462	-92.5806204
MO	29003010100	170780776	2154491	65.939	0.832	39.8548391	-94.7532819
MO	29003010201	32746674	184686	12.644	0.071	39.9244539	-94.8384098
MO	29003010202	68294843	855479	26.369	0.33	39.9764229	-94.8219919
MO	29003010300	320408528	2014707	123.71	0.778	40.0034609	-94.9587231
MO	29003010400	528279617	4468008	203.97	1.725	40.0162976	-94.7139923
MO	29005950100	750239019	144113	289.669	0.056	40.4155563	-95.3207625
MO	29005950200	667223609	7215073	257.616	2.786	40.4474777	-95.5562913
MO	29007950100	32573198	129771	12.577	0.05	39.3059738	-91.4929857
MO	29007950200	1048584894	6309917	404.861	2.436	39.2112573	-91.7101339
MO	29007950300	611347425	3031867	236.043	1.171	39.2270823	-92.0886961
MO	29007950400	32087421	1068772	12.389	0.413	39.1854041	-91.8483203
MO	29007950500	22240825	265408	8.587	0.102	39.206481	-91.9042506
MO	29007950600	17039079	121629	6.579	0.047	39.1639303	-91.9230166
MO	29007950700	29045321	916075	11.214	0.354	39.1441034	-91.8647962
MO	29009960101	392740083	1023682	151.638	0.395	36.8261347	-93.6921291
MO	29009960102	324893761	10269844	125.442	3.965	36.6442651	-93.6970349
MO	29009960201	225256422	565527	86.972	0.218	36.8373215	-94.002654
MO	29009960202	220328025	244254	85.069	0.094	36.8176596	-93.8447453
MO	29009960301	4653100	2300	1.797	0.001	36.9244249	-93.9340984
MO	29009960302	34257302	76858	13.227	0.03	36.8977795	-93.9333231
MO	29009960401	337929526	2072201	130.475	0.8	36.559307	-93.9359366
MO	29009960402	207858422	359627	80.255	0.139	36.6949265	-93.9807657
MO	29009960500	174601516	125108	67.414	0.048	36.6506628	-93.8478857
MO	29009960600	92808518	18173292	35.834	7.017	36.538534	-93.6447981
MO	29011960100	564981372	3798210	218.141	1.466	37.5537343	-94.17055
MO	29011960200	919291858	7126157	354.941	2.751	37.511636	-94.4531692
MO	29011960300	49077798	1227834	18.949	0.474	37.4875768	-94.2769516
MO	29013070100	717931049	3765742	277.195	1.454	38.3468483	-94.2333393
MO	29013070200	885214937	13240406	341.783	5.112	38.2609582	-94.5067354
MO	29013070300	29724070	422941	11.477	0.163	38.2603479	-94.3363133
MO	29013070400	534163381	20601649	206.242	7.954	38.1327812	-94.2198748
MO	29015460100	371362923	1150183	143.384	0.444	38.4395464	-93.1888003
MO	29015460200	292500458	876056	112.935	0.338	38.440951	-93.4012306
MO	29015460300	174284773	21688953	67.292	8.374	38.3261387	-93.3947309
MO	29015460400	216350356	11553444	83.533	4.461	38.3016635	-93.1718555
MO	29015460701	179237234	39413000	69.204	15.217	38.1487808	-93.4306893
MO	29015460702	67916001	33839678	26.223	13.066	38.2496406	-93.4713712
MO	29015460801	331474109	7896636	127.983	3.049	38.1604693	-93.1613762
MO	29015460802	190311899	9187761	73.48	3.547	38.1659763	-93.3041475
MO	29017950100	648151743	1018885	250.253	0.393	37.477621	-90.0135031
MO	29017950200	292323442	535573	112.867	0.207	37.3079744	-89.9801467
MO	29017950300	659889391	6975664	254.785	2.693	37.1698368	-90.0695364
MO	29019000200	896933	0	0.346	0.	38.9556765	-92.3156673
MO	29019000300	1387622	0	0.536	0.	38.9448458	-92.3141091
MO	29019000500	1247494	0	0.482	0.	38.9464648	-92.3291377
MO	29019000600	4814973	13787	1.859	0.005	38.9460982	-92.3535674
MO	29019000700	2357506	0	0.91	0.	38.9582991	-92.3523423
MO	29019000900	2896270	24204	1.118	0.009	38.9660023	-92.3273538
MO	29019001001	7517171	121315	2.902	0.047	38.9445973	-92.3037123
MO	29019001003	7519188	40949	2.903	0.016	38.9509277	-92.2694086
MO	29019001004	15511595	65049	5.989	0.025	38.9174629	-92.2728697
MO	29019001105	6237019	0	2.408	0.	38.9229225	-92.3234212
MO	29019001106	15744914	120093	6.079	0.046	38.8951361	-92.3081577
MO	29019001107	5942988	0	2.295	0.	38.9152081	-92.3680033
MO	29019001108	4512438	0	1.742	0.	38.9256482	-92.3480679
MO	29019001109	5528314	21293	2.134	0.008	38.9002493	-92.3512496
MO	29019001110	18562526	49262	7.167	0.019	38.8893594	-92.3779641
MO	29019001201	5252262	116952	2.028	0.045	38.9435519	-92.3887135
MO	29019001202	6009206	0	2.32	0.	38.9295314	-92.3779739
MO	29019001300	5359910	16795	2.069	0.006	38.9648829	-92.3833415
MO	29019001401	18359577	150857	7.089	0.058	38.9987951	-92.3476897
MO	29019001402	12191925	56011	4.707	0.022	38.9791152	-92.3741037
MO	29019001503	15591519	0	6.02	0.	39.0146097	-92.2997549
MO	29019001505	4716908	0	1.821	0.	38.9716899	-92.2761079
MO	29019001506	16297214	16917	6.292	0.007	39.0045313	-92.2697033
MO	29019001507	4836375	0	1.867	0.	38.9783851	-92.309156
MO	29019001508	4619114	0	1.783	0.	38.9924129	-92.3101701
MO	29019001602	136260098	449415	52.61	0.174	38.9320372	-92.1885932
MO	29019001603	45992228	0	17.758	0.	39.0047588	-92.2179221
MO	29019001604	4574376	57999	1.766	0.022	38.9661143	-92.262065
MO	29019001702	199017434	4471437	76.841	1.726	38.8283186	-92.3492165
MO	29019001703	98779910	398985	38.139	0.154	38.808221	-92.1998448
MO	29019001704	146219073	3846272	56.456	1.485	38.7148843	-92.2646176
MO	29019001803	144806435	361647	55.91	0.14	39.0035138	-92.4596921
MO	29019001806	76847350	1656097	29.671	0.639	38.9287562	-92.4628902
MO	29019001807	6556535	0	2.531	0.	38.9485779	-92.4094614
MO	29019001901	289989342	775806	111.966	0.3	39.1480707	-92.4020585
MO	29019001903	212446942	587487	82.026	0.227	39.0867644	-92.2233731
MO	29019001904	137528716	531410	53.1	0.205	39.1830708	-92.2537399
MO	29019002000	79111969	271980	30.545	0.105	39.1929169	-92.1589209
MO	29019002100	1820641	0	0.703	0.	38.9561335	-92.3321647
MO	29019002200	1706223	0	0.659	0.	38.9379959	-92.3211071
MO	29021000100	12918628	62115	4.988	0.024	39.8069658	-94.7913429
MO	29021000200	6466040	2574	2.497	0.001	39.8086984	-94.8282884
MO	29021000300	25594796	1219881	9.882	0.471	39.7896851	-94.8886195
MO	29021000400	1772527	187027	0.684	0.072	39.7772517	-94.8637859
MO	29021000500	2807715	0	1.084	0.	39.7882007	-94.8394439
MO	29021000600	5366607	12139	2.072	0.005	39.7829384	-94.8135023
MO	29021000701	8256467	32811	3.188	0.013	39.7676719	-94.7841473
MO	29021000702	4925476	47137	1.902	0.018	39.7865306	-94.7892852
MO	29021000900	2176614	0	0.84	0.	39.7675468	-94.8253551
MO	29021001000	1213610	0	0.469	0.	39.7673731	-94.8399593
MO	29021001100	1546553	11738	0.597	0.005	39.7773372	-94.8381777
MO	29021001200	1521715	0	0.588	0.	39.7714032	-94.8521132
MO	29021001500	2382321	0	0.92	0.	39.7544009	-94.8256022
MO	29021001600	1803931	0	0.697	0.	39.7545781	-94.8097274
MO	29021001700	10592320	35243	4.09	0.014	39.7340794	-94.7760784
MO	29021001800	5476719	7579	2.115	0.003	39.7364301	-94.8186336
MO	29021002100	6158511	0	2.378	0.	39.7259732	-94.8403615
MO	29021002200	14586459	68417	5.632	0.026	39.7144406	-94.7924807
MO	29021002300	5740625	0	2.216	0.	39.7070122	-94.8471326
MO	29021002400	1234148	0	0.477	0.	39.7158595	-94.8629412
MO	29021002500	3442932	0	1.329	0.	39.7048616	-94.8756875
MO	29021002700	350739495	4536813	135.421	1.752	39.6898354	-94.6730597
MO	29021002800	278802663	2568307	107.646	0.992	39.6135048	-94.7927836
MO	29021002900	292377309	8159395	112.888	3.15	39.6146215	-94.9678688
MO	29021003001	7721142	991698	2.981	0.383	39.7405896	-94.8590968
MO	29021003002	1735958	0	0.67	0.	39.7554226	-94.8402876
MO	29023950101	202393475	2199412	78.145	0.849	36.8590971	-90.4116728
MO	29023950102	152578636	2113124	58.911	0.816	36.848167	-90.2850154
MO	29023950201	274612822	992610	106.029	0.383	36.841074	-90.5647154
MO	29023950202	203710981	810314	78.653	0.313	36.7105855	-90.5445452
MO	29023950301	7624726	292	2.944	0.	36.7848892	-90.4158846
MO	29023950302	5958354	0	2.301	0.	36.7726316	-90.4252762
MO	29023950400	5962771	1097	2.302	0.	36.7795699	-90.3913569
MO	29023950500	22809962	359144	8.807	0.139	36.7617135	-90.3654367
MO	29023950600	469947587	2953226	181.448	1.14	36.6362855	-90.2569758
MO	29023950700	7394991	0	2.855	0.	36.733427	-90.3989371
MO	29023950800	11948458	5156	4.613	0.002	36.7441621	-90.4264715
MO	29023950900	434468117	1756949	167.749	0.678	36.6033488	-90.4408807
MO	29025950100	540953707	3648046	208.863	1.409	39.659125	-93.8657954
MO	29025950201	395886533	2955331	152.853	1.141	39.6176477	-94.0902834
MO	29025950202	167513254	1795860	64.677	0.693	39.7459665	-94.0852556
MO	29027070100	573063336	4839313	221.261	1.868	38.9961493	-91.884477
MO	29027070200	572813139	9350102	221.164	3.61	38.8334661	-91.7623491
MO	29027070301	17729010	318574	6.845	0.123	38.8660025	-91.9224329
MO	29027070302	13136782	119266	5.072	0.046	38.8274853	-91.9272695
MO	29027070400	22528084	353942	8.698	0.137	38.8440506	-91.9606963
MO	29027070500	213690073	3240713	82.506	1.251	38.880163	-92.0461695
MO	29027070601	210387743	1962013	81.231	0.758	38.770541	-92.1050025
MO	29027070602	261026750	3664516	100.783	1.415	38.7227014	-91.9479732
MO	29027070701	130020350	4464120	50.201	1.724	38.6205682	-91.9898102
MO	29027070702	59861976	1354653	23.113	0.523	38.6074351	-92.0869867
MO	29027070800	87263221	3519960	33.693	1.359	38.643224	-92.155795
MO	29029950101	11165500	9471050	4.311	3.657	38.2007347	-92.7274376
MO	29029950102	12884157	8914217	4.975	3.442	38.1999578	-92.6745205
MO	29029950201	15604420	6925244	6.025	2.674	38.1420877	-92.6372583
MO	29029950202	27634785	7545317	10.67	2.913	38.114022	-92.7004863
