USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
OH	39001770100	286764378	1535831	110.72	0.593	38.9559864	-83.3556434
OH	39001770200	222677857	102314	85.976	0.04	38.9909749	-83.5518337
OH	39001770301	215727389	170790	83.293	0.066	38.8756607	-83.5196332
OH	39001770302	173426483	0	66.96	0.	38.8076927	-83.6527554
OH	39001770400	96485504	242467	37.253	0.094	38.7716214	-83.5445111
OH	39001770500	394824244	1638538	152.442	0.633	38.7570611	-83.3650052
OH	39001770600	122315410	2560168	47.226	0.988	38.7060421	-83.5610405
OH	39003010100	20489723	231126	7.911	0.089	40.8917469	-83.8991177
OH	39003010200	180861495	729629	69.831	0.282	40.8652862	-84.003472
OH	39003010300	74841136	305797	28.896	0.118	40.8240378	-84.1599836
OH	39003010600	146652808	2873595	56.623	1.11	40.7249174	-84.3146099
OH	39003010801	11800487	64676	4.556	0.025	40.7783227	-84.1902209
OH	39003010802	23493528	362066	9.071	0.14	40.7478889	-84.2006304
OH	39003010900	7312838	10167	2.824	0.004	40.7446294	-84.1581047
OH	39003011000	13509934	6019	5.216	0.002	40.7773655	-84.1355805
OH	39003011200	14818580	173961	5.721	0.067	40.7823566	-84.0783177
OH	39003011301	27272647	3043514	10.53	1.175	40.7502962	-84.0356222
OH	39003011302	39700934	294110	15.329	0.114	40.7937628	-84.0439508
OH	39003011400	92511400	797645	35.719	0.308	40.7810576	-83.9205969
OH	39003011500	93214149	354450	35.99	0.137	40.695518	-83.9280532
OH	39003011600	83471059	183179	32.228	0.071	40.6751135	-84.0414253
OH	39003011800	9744854	281823	3.763	0.109	40.718787	-84.145148
OH	39003011900	20896419	145836	8.068	0.056	40.6841495	-84.1343291
OH	39003012000	6950536	119802	2.684	0.046	40.7070395	-84.1683471
OH	39003012100	35202051	218814	13.592	0.084	40.6822427	-84.1973201
OH	39003012200	1956550	7022	0.755	0.003	40.7647074	-84.1169163
OH	39003012300	2021974	0	0.781	0.	40.7531921	-84.117054
OH	39003012400	1973023	9711	0.762	0.004	40.7582635	-84.1040908
OH	39003012600	2059146	162082	0.795	0.063	40.7390385	-84.0838425
OH	39003012700	926345	17809	0.358	0.007	40.7336078	-84.0945137
OH	39003012900	824393	0	0.318	0.	40.7440996	-84.1194763
OH	39003013000	2608816	0	1.007	0.	40.7491913	-84.1356594
OH	39003013100	1510795	0	0.583	0.	40.738817	-84.1421507
OH	39003013200	1045376	8168	0.404	0.003	40.7363542	-84.1316868
OH	39003013300	879197	1660	0.339	0.001	40.733739	-84.1216379
OH	39003013400	2073208	75592	0.8	0.029	40.7282394	-84.1114506
OH	39003013600	1519131	22257	0.587	0.009	40.7262546	-84.0880139
OH	39003013700	1366862	9539	0.528	0.004	40.7222688	-84.0871425
OH	39003013800	6609790	37282	2.552	0.014	40.7131287	-84.0934238
OH	39003013900	69531672	210941	26.846	0.081	40.7960827	-84.3058099
OH	39003014000	40208135	290855	15.524	0.112	40.8376849	-84.2676026
OH	39003014100	2728397	102934	1.053	0.04	40.7453548	-84.10054
OH	39005970101	58364135	334994	22.535	0.129	41.0210935	-82.2147129
OH	39005970102	164141431	1513446	63.375	0.584	40.9368077	-82.1962705
OH	39005970200	231553044	1572049	89.403	0.607	40.9855738	-82.3460413
OH	39005970300	28731214	134540	11.093	0.052	40.88395	-82.3699615
OH	39005970400	21086224	261276	8.141	0.101	40.8908135	-82.2876653
OH	39005970500	1477502	0	0.57	0.	40.8646144	-82.3121964
OH	39005970600	28313737	75049	10.932	0.029	40.8442366	-82.382185
OH	39005970700	45942732	253518	17.739	0.098	40.8253029	-82.3368186
OH	39005970800	36132912	115985	13.951	0.045	40.843273	-82.2701271
OH	39005970900	222907927	637974	86.065	0.246	40.7616465	-82.1915107
OH	39005971000	162488859	4632579	62.737	1.789	40.7359178	-82.3043778
OH	39005971100	94388479	437699	36.444	0.169	40.6088671	-82.3152713
OH	39007000101	28768436	3739680	11.108	1.444	41.924548	-80.5987501
OH	39007000102	5516162	1265700	2.13	0.489	41.9581574	-80.558966
OH	39007000103	3587930	0	1.385	0.	41.9415089	-80.5690759
OH	39007000200	46658483	4021928	18.015	1.553	41.9110163	-80.6588204
OH	39007000300	37651249	2562449	14.537	0.989	41.8881299	-80.7366176
OH	39007000400	4427483	931881	1.709	0.36	41.8977949	-80.7889118
OH	39007000500	4601323	4642	1.777	0.002	41.8717888	-80.7757115
OH	39007000601	2957243	101415	1.142	0.039	41.8854493	-80.7991973
OH	39007000602	3318814	4897950	1.281	1.891	41.8901911	-80.8345072
OH	39007000603	35632430	5348090	13.758	2.065	41.8617868	-80.8750372
OH	39007000701	5168857	0	1.996	0.	41.861873	-80.8113218
OH	39007000702	49111786	63720	18.962	0.025	41.8040668	-80.864174
OH	39007000703	4590283	0	1.772	0.	41.8510133	-80.807431
OH	39007000704	24585660	42729	9.493	0.016	41.8459047	-80.7609693
OH	39007000801	13602577	2188044	5.252	0.845	41.8494675	-80.9384534
OH	39007000802	20831015	22522	8.043	0.009	41.793529	-80.9238389
OH	39007000900	43171607	1853803	16.669	0.716	41.8172391	-80.9773768
OH	39007001001	175090382	2257911	67.603	0.872	41.6535933	-80.909818
OH	39007001002	96155427	542188	37.126	0.209	41.7432613	-80.9118687
OH	39007001101	100545834	197177	38.821	0.076	41.6616948	-80.7715182
OH	39007001102	112648759	475244	43.494	0.183	41.7547215	-80.7810579
OH	39007001201	165883492	237297	64.048	0.092	41.8034199	-80.6623362
OH	39007001202	175051712	144821	67.588	0.056	41.8153068	-80.5639887
OH	39007001301	186904192	7355917	72.164	2.84	41.5540641	-80.6142371
OH	39007001303	167543959	240998	64.689	0.093	41.6657155	-80.6389157
OH	39007001304	24394588	6418969	9.419	2.478	41.640443	-80.5445598
OH	39007001401	126629137	129129	48.892	0.05	41.5549616	-80.9421875
OH	39007001402	154223441	328937	59.546	0.127	41.55143	-80.7986293
OH	39007990000	0	1678956914	0.	648.249	42.1015471	-80.7704355
OH	39009972600	87911261	1021494	33.943	0.394	39.5217956	-82.1033678
OH	39009972700	62419085	162431	24.1	0.063	39.4354338	-82.1514118
OH	39009972800	74682177	902410	28.835	0.348	39.4139065	-82.2458608
OH	39009972900	42197431	918058	16.293	0.354	39.3592148	-82.1618711
OH	39009973000	3539398	2787	1.367	0.001	39.3439197	-82.0902623
OH	39009973101	1355537	145744	0.523	0.056	39.328286	-82.1097
OH	39009973200	47596490	253649	18.377	0.098	39.3208653	-82.1649665
OH	39009973300	55628109	604458	21.478	0.233	39.3013118	-82.0482791
OH	39009973400	75392941	1287616	29.109	0.497	39.3750881	-82.0868782
OH	39009973500	276318220	1380566	106.687	0.533	39.388263	-81.9539713
OH	39009973600	178265205	2606964	68.829	1.007	39.2369274	-81.8172828
OH	39009973700	243600719	1572437	94.055	0.607	39.2370513	-82.0336913
OH	39009973800	153608890	1505592	59.309	0.581	39.2812113	-82.2266813
OH	39009973901	1169107	0	0.451	0.	39.3236725	-82.0970187
OH	39009973902	744890	0	0.288	0.	39.3313021	-82.0934399
OH	39011040100	209089424	43036	80.73	0.017	40.5926575	-83.9853576
