fips,mcc_raw,households,housing_units,peak,base,status,excluded,reason
31175,3574.0,1750.0,2112.0,1.0,3574,mcc_ok,False,
31177,8327.0,8234.0,8608.0,12976.0,12976,excluded,True,peak_exceeds_base
31179,4484.0,3731.0,3956.0,8.0,4484,mcc_ok,False,
31181,2418.0,1480.0,1783.0,,2418,mcc_ok,False,
31183,514.0,346.0,574.0,,574,housing_floor,False,
31185,10586.0,5592.0,6308.0,4634.0,10586,mcc_ok,False,
32001,12212.0,9595.0,10829.0,7730.0,12212,mcc_ok,False,
32003,1008802.0,832367.0,923275.0,54821.0,1008802,mcc_ok,False,
32005,24125.0,21001.0,24417.0,26782.0,26782,peak_floor,False,
32007,7290.0,19032.0,21838.0,11916.0,21838,housing_floor,False,
32009,334.0,485.0,732.0,1703.0,1703,excluded,True,peak_exceeds_base
32011,1938.0,570.0,997.0,393.0,1938,mcc_ok,False,
32013,9456.0,6986.0,7671.0,8373.0,9456,mcc_ok,False,
32015,2984.0,2256.0,2802.0,3231.0,3231,peak_floor,False,
32017,,1645.0,2292.0,35.0,2292,housing_floor,False,
32019,28135.0,23290.0,24582.0,11835.0,28135,mcc_ok,False,
32021,2219.0,1881.0,2403.0,2559.0,2559,peak_floor,False,
32023,26896.0,21847.0,25017.0,8678.0,26896,mcc_ok,False,
32027,2671.0,1886.0,2297.0,2223.0,2671,mcc_ok,False,
32029,6273.0,1692.0,1934.0,961.0,6273,mcc_ok,False,
32031,244311.0,192420.0,208480.0,49287.0,244311,mcc_ok,False,
32033,5695.0,3363.0,4158.0,8.0,5695,mcc_ok,False,
32510,30607.0,23355.0,24633.0,14038.0,30607,mcc_ok,False,
33001,32434.0,25956.0,38478.0,20394.0,38478,housing_floor,False,
33003,26009.0,21644.0,39889.0,34968.0,39889,housing_floor,False,
33005,36014.0,30307.0,35706.0,19245.0,36014,mcc_ok,False,
33007,24038.0,13620.0,20570.0,9692.0,24038,mcc_ok,False,
33009,49895.0,35084.0,51191.0,11415.0,51191,housing_floor,False,
33011,196402.0,166344.0,175630.0,78205.0,196402,mcc_ok,False,
33013,115899.0,59851.0,65744.0,61747.0,115899,mcc_ok,False,
33015,154048.0,125464.0,135585.0,80811.0,154048,mcc_ok,False,
33017,89738.0,50953.0,55672.0,29633.0,89738,mcc_ok,False,
33019,20079.0,15893.0,21870.0,19880.0,21870,housing_floor,False,
34001,167221.0,106640.0,131786.0,57544.0,167221,mcc_ok,False,
34003,418357.0,350843.0,367059.0,140979.0,418357,mcc_ok,False,
34005,208513.0,174454.0,184859.0,93115.0,208513,mcc_ok,False,
34007,243254.0,198757.0,212477.0,93824.0,243254,mcc_ok,False,
34009,56097.0,43277.0,99525.0,76550.0,99525,housing_floor,False,
34011,82843.0,52584.0,57143.0,23295.0,82843,mcc_ok,False,
34013,386888.0,312942.0,334136.0,85509.0,386888,mcc_ok,False,
34015,162737.0,109996.0,117041.0,81657.0,162737,mcc_ok,False,
34017,299572.0,290054.0,311964.0,73096.0,311964,housing_floor,False,
34019,66967.0,49676.0,51684.0,31409.0,66967,mcc_ok,False,
34021,193667.0,139549.0,150035.0,51105.0,193667,mcc_ok,False,
34023,406721.0,301967.0,314752.0,100804.0,406721,mcc_ok,False,
34025,345701.0,248117.0,268751.0,202864.0,345701,mcc_ok,False,
34027,112181.0,189607.0,197541.0,133793.0,197541,housing_floor,False,
34029,327289.0,239466.0,293899.0,216332.0,327289,mcc_ok,False,
34031,119763.0,177209.0,184830.0,69938.0,184830,housing_floor,False,
34033,36572.0,24744.0,27739.0,15558.0,36572,mcc_ok,False,
34035,172530.0,127566.0,131989.0,36937.0,172530,mcc_ok,False,
34037,47606.0,56348.0,62709.0,44821.0,62709,housing_floor,False,
34039,259708.0,199996.0,209928.0,77985.0,259708,mcc_ok,False,
34041,55613.0,44370.0,46493.0,19281.0,55613,mcc_ok,False,
35001,364403.0,281095.0,299693.0,117576.0,364403,mcc_ok,False,
35003,2458.0,1609.0,3205.0,2830.0,3205,housing_floor,False,
35005,46338.0,23280.0,26727.0,13467.0,46338,mcc_ok,False,
35006,5721.0,8124.0,11141.0,1892.0,11141,housing_floor,False,
35007,5878.0,5549.0,9554.0,,9554,housing_floor,False,
35009,33327.0,18535.0,21155.0,11524.0,33327,mcc_ok,False,
35011,405.0,741.0,1154.0,105.0,1154,housing_floor,False,
35013,101930.0,81969.0,90294.0,27917.0,101930,mcc_ok,False,
35015,28539.0,22703.0,26261.0,15851.0,28539,mcc_ok,False,
35017,15355.0,11292.0,14625.0,11945.0,15355,mcc_ok,False,
35019,1548.0,1295.0,2162.0,477.0,2162,housing_floor,False,
35021,213.0,243.0,457.0,,457,housing_floor,False,
35023,2651.0,1557.0,2215.0,1784.0,2651,mcc_ok,False,
35025,46964.0,24379.0,27854.0,16490.0,46964,mcc_ok,False,
35027,8967.0,9031.0,17698.0,20995.0,20995,peak_floor,False,
35028,11401.0,8149.0,8631.0,,11401,mcc_ok,False,
35029,16018.0,8951.0,11514.0,9800.0,16018,mcc_ok,False,
35031,18739.0,20913.0,25180.0,5030.0,25180,housing_floor,False,
35033,2065.0,2091.0,3092.0,,3092,housing_floor,False,
35035,18452.0,23832.0,32244.0,16919.0,32244,housing_floor,False,
35037,4683.0,3757.0,5491.0,6946.0,6946,peak_floor,False,
35039,7029.0,14076.0,19616.0,12115.0,19616,housing_floor,False,
35041,14808.0,6961.0,8511.0,2782.0,14808,mcc_ok,False,
35043,60725.0,54911.0,58915.0,23233.0,60725,mcc_ok,False,
35045,60294.0,41049.0,48050.0,9773.0,60294,mcc_ok,False,
35047,11786.0,11586.0,14860.0,12058.0,14860,housing_floor,False,
35049,78870.0,67866.0,76714.0,48797.0,78870,mcc_ok,False,
35051,2974.0,5285.0,8115.0,274.0,8115,housing_floor,False,
35053,9451.0,4953.0,7621.0,527.0,9451,mcc_ok,False,
35055,28790.0,13736.0,20950.0,,28790,mcc_ok,False,
35057,6851.0,5599.0,7230.0,7662.0,7662,peak_floor,False,
35059,418.0,1463.0,2091.0,1583.0,2091,housing_floor,False,
35061,35686.0,26272.0,30129.0,20796.0,35686,mcc_ok,False,
36001,185574.0,132175.0,146137.0,67944.0,185574,mcc_ok,False,
36003,27503.0,16813.0,23636.0,14946.0,27503,mcc_ok,False,
36005,479084.0,525387.0,547816.0,23271.0,547816,housing_floor,False,
36007,113772.0,81339.0,92596.0,83402.0,113772,mcc_ok,False,
36009,24980.0,31491.0,40254.0,14233.0,40254,housing_floor,False,
36011,40433.0,30910.0,36701.0,37627.0,40433,mcc_ok,False,
