USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
CT	0911070550	00213508	Southington town	A	92913801	1934050	35.874	0.747	41.60716	-72.87876
CT	0911071390	00213509	South Windsor town	A	72668282	1572283	28.057	0.607	41.83809	-72.577836
CT	0911072090	00212349	Stafford town	A	150316815	1868958	58.038	0.722	41.983879	-72.307574
CT	0911074540	00212351	Suffield town	A	109525314	1738079	42.288	0.671	41.999915	-72.678751
CT	0911076290	00212667	Tolland town	A	102633514	1630211	39.627	0.629	41.883019	-72.358869
CT	0911078250	00213520	Vernon town	A	45887227	988545	17.717	0.382	41.837561	-72.45904
CT	0911082590	00213529	West Hartford town	A	56560149	1096521	21.838	0.423	41.766568	-72.754944
CT	0911084900	00213533	Wethersfield town	A	31862532	2071398	12.302	0.8	41.702484	-72.669301
CT	0911085950	00213534	Willington town	A	86230085	582494	33.294	0.225	41.897267	-72.251848
CT	0911087000	00212354	Windsor town	A	76443198	3749674	29.515	1.448	41.871037	-72.675082
CT	0911087070	00212355	Windsor Locks town	A	23371633	884319	9.024	0.341	41.92779	-72.651616
CT	0912000000	00000000	County subdivisions not defined	F	0	230554513	0.	89.018	41.092611	-73.171738
CT	0912008070	00213396	Bridgeport town	C	41606639	8705768	16.064	3.361	41.187393	-73.195757
CT	0912023890	00213427	Easton town	A	71026086	3231994	27.423	1.248	41.264945	-73.300479
CT	0912026620	00213429	Fairfield town	A	77447782	3827261	29.903	1.478	41.17594	-73.272046
CT	0912048620	00213463	Monroe town	A	67522444	511097	26.071	0.197	41.339236	-73.222828
CT	0912074190	00213514	Stratford town	A	45275801	6309951	17.481	2.436	41.205688	-73.127986
CT	0912077200	00213518	Trumbull town	A	60189114	623554	23.239	0.241	41.272891	-73.211899
CT	0913000000	00000000	County subdivisions not defined	F	0	145359959	0.	56.124	41.230831	-72.398599
CT	0913014300	00213407	Chester town	A	41573119	2010913	16.051	0.776	41.411728	-72.487146
CT	0913015350	00213408	Clinton town	A	41975453	7283328	16.207	2.812	41.29513	-72.530039
CT	0913018080	00213414	Cromwell town	A	32251180	1291345	12.452	0.499	41.616609	-72.66156
CT	0913019130	00213417	Deep River town	A	35001764	1684245	13.514	0.65	41.367819	-72.477442
CT	0913020810	00213419	Durham town	A	61276966	395266	23.659	0.153	41.468922	-72.684525
CT	0913022280	02378251	East Haddam town	A	140516009	6033784	54.254	2.33	41.476661	-72.39212
CT	0913022490	00213423	East Hampton town	A	92335619	3227660	35.651	1.246	41.567737	-72.509544
CT	0913026270	00213428	Essex town	A	26942176	3764185	10.402	1.453	41.349862	-72.413383
CT	0913035230	00213439	Haddam town	A	113796056	6074386	43.937	2.345	41.480809	-72.548636
CT	0913040710	00213448	Killingworth town	A	91506573	1170681	35.331	0.452	41.374419	-72.578328
CT	0913044210	00213453	Lyme town	A	82353554	6919728	31.797	2.672	41.398615	-72.331546
CT	0913047080	00213460	Middlefield town	A	32759592	1581755	12.649	0.611	41.514163	-72.717844
CT	0913047360	00213461	Middletown town	C	106235853	3488224	41.018	1.347	41.548611	-72.656784
CT	0913057040	00213483	Old Lyme town	A	59605004	15039277	23.014	5.807	41.31232	-72.305742
CT	0913057320	00213484	Old Saybrook town	A	39003142	16915075	15.059	6.531	41.293504	-72.383594
CT	0913061800	00213491	Portland town	A	60476326	3896302	23.35	1.504	41.598834	-72.589071
CT	0913081680	00213528	Westbrook town	A	40843930	14954929	15.77	5.774	41.303695	-72.478017
CT	0914001220	00213383	Ansonia town	C	15588608	435200	6.019	0.168	41.344249	-73.069825
CT	0914003250	00213387	Beacon Falls town	A	25055586	301401	9.674	0.116	41.443685	-73.051925
CT	0914004930	00213391	Bethlehem town	A	50181137	740227	19.375	0.286	41.635759	-73.211422
CT	0914008490	00213398	Bristol town	C	68373837	1041015	26.399	0.402	41.681578	-72.940749
CT	0914014160	00213406	Cheshire town	A	85045589	1254329	32.836	0.484	41.511827	-72.903617
CT	0914019550	00213418	Derby town	C	13094125	906368	5.056	0.35	41.326124	-73.082574
CT	0914046940	00213459	Middlebury town	A	45988511	1785060	17.756	0.689	41.524691	-73.123016
CT	0914049950	00213466	Naugatuck town	C	42435044	246553	16.384	0.095	41.487785	-73.051551
CT	0914058300	00213486	Oxford town	A	84809656	1525206	32.745	0.589	41.444033	-73.148235
CT	0914060750	00213489	Plymouth town	A	56674087	1199855	21.882	0.463	41.666392	-73.026516
CT	0914062290	00213493	Prospect town	A	36781443	626715	14.201	0.242	41.499247	-72.975634
CT	0914067610	00213502	Seymour town	A	37600922	1189852	14.518	0.459	41.385466	-73.083641
CT	0914068170	00213504	Shelton town	C	79334982	3292855	30.631	1.271	41.304577	-73.139215
CT	0914069640	00213507	Southbury town	A	101023392	2743300	39.005	1.059	41.475986	-73.229692
CT	0914075730	00213515	Thomaston town	A	31050042	561748	11.988	0.217	41.664944	-73.096325
CT	0914080070	00213525	Waterbury town	C	73961202	1093581	28.557	0.422	41.5585	-73.036685
CT	0914080490	00213527	Watertown town	A	75139010	1304969	29.011	0.504	41.617245	-73.114362
CT	0914087560	00213538	Wolcott town	A	52800707	1762941	20.386	0.681	41.59503	-72.968514
CT	0914087910	00213540	Woodbury town	A	94168480	736698	36.359	0.284	41.561632	-73.206096
CT	0915001430	00213384	Ashford town	A	100392972	1832456	38.762	0.708	41.897123	-72.171427
CT	0915009190	00213400	Brooklyn town	A	75454825	282000	29.133	0.109	41.787243	-71.957401
CT	0915012130	00213403	Canterbury town	A	103456494	683775	39.945	0.264	41.69396	-72.009118
CT	0915013810	00213405	Chaplin town	A	50222578	352486	19.391	0.136	41.79089	-72.12954
CT	0915021860	00213420	Eastford town	A	74904508	891568	28.921	0.344	41.89559	-72.093304
CT	0915036000	00213441	Hampton town	A	64988483	1052941	25.092	0.407	41.78303	-72.064572
CT	0915040500	00213447	Killingly town	A	125217648	3927291	48.347	1.516	41.829902	-71.849097
CT	0915059980	00213487	Plainfield town	A	109844080	1480396	42.411	0.572	41.693613	-71.900776
CT	0915061030	00213490	Pomfret town	A	104451274	647536	40.329	0.25	41.86804	-71.97226
CT	0915062710	00213494	Putnam town	A	52588039	282510	20.304	0.109	41.908027	-71.870452
CT	0915067400	00213501	Scotland town	A	48254860	131054	18.631	0.051	41.697636	-72.087289
CT	0915073420	00213512	Sterling town	A	70499825	171521	27.22	0.066	41.7012	-71.815988
CT	0915075870	00213516	Thompson town	A	121496360	4530085	46.91	1.749	41.990287	-71.867024
CT	0915077830	00213519	Union town	A	74720104	2514328	28.85	0.971	41.999885	-72.162244
CT	0915078600	00213521	Voluntown town	A	100924002	2137004	38.967	0.825	41.579192	-71.831228
CT	0915088190	00213541	Woodstock town	A	157165209	3070895	60.682	1.186	41.966208	-72.022786
CT	0916002760	00213386	Barkhamsted town	A	93896736	6671465	36.254	2.576	41.935708	-72.972921
CT	0916010100	00213401	Burlington town	A	76927730	1836670	29.702	0.709	41.749079	-72.948657
CT	0916010940	00213402	Canaan town	A	85242555	836406	32.912	0.323	41.962959	-73.307143
CT	0916016050	00213410	Colebrook town	A	81722366	3551365	31.553	1.371	42.005797	-73.064184
CT	0916017240	00213412	Cornwall town	A	119297429	656783	46.061	0.254	41.84806	-73.330561
CT	0916032290	00213433	Goshen town	A	113004839	4028683	43.631	1.555	41.849537	-73.234002
CT	0916037140	00213443	Hartland town	A	85456173	3932194	32.995	1.518	42.001205	-72.954027
CT	0916037280	00213444	Harwinton town	A	79759564	896244	30.795	0.346	41.761345	-73.060443
CT	0916040290	00213446	Kent town	A	125813160	2676631	48.577	1.033	41.729782	-73.45414
CT	0916043370	00213452	Litchfield town	A	145296074	1831291	56.099	0.707	41.740937	-73.192751
CT	0916049460	00213465	Morris town	A	44961621	3518691	17.36	1.359	41.694323	-73.209998
CT	0916051350	00213470	New Hartford town	A	95927210	2940726	37.038	1.135	41.841053	-72.998664
CT	0916053470	00213476	Norfolk town	A	117436917	2861078	45.343	1.105	41.969773	-73.178439
CT	0916054030	00213478	North Canaan town	A	50176807	268569	19.373	0.104	42.020594	-73.296246
CT	0916065930	00213498	Roxbury town	A	68102993	161539	26.295	0.062	41.555532	-73.296026
CT	0916066420	00213500	Salisbury town	A	148239632	7341280	57.236	2.834	41.986226	-73.425273
CT	0916067960	00213503	Sharon town	A	152201015	2058011	58.765	0.795	41.860763	-73.449215
CT	0916076570	00213517	Torrington town	C	102982068	1441410	39.762	0.557	41.8342	-73.13147
CT	0916079510	00213523	Warren town	A	68132140	3219783	26.306	1.243	41.735855	-73.342831
CT	0916079720	00213524	Washington town	A	98602270	1482946	38.071	0.573	41.656175	-73.310175
CT	0916086440	00213536	Winchester town	A	84213566	3386147	32.515	1.307	41.927213	-73.109336
CT	0917000000	00000000	County subdivisions not defined	F	0	599104135	0.	231.315	41.187466	-72.815334
CT	0917004580	00213389	Bethany town	A	54564789	996204	21.068	0.385	41.422964	-72.994187
CT	0917007310	00213395	Branford town	A	56568416	15930118	21.841	6.151	41.279949	-72.78595
CT	0917022910	00213425	East Haven town	A	31847385	3115993	12.296	1.203	41.293453	-72.858994
CT	0917034950	00213438	Guilford town	A	121933331	6858341	47.079	2.648	41.339032	-72.70609
CT	0917035650	00213440	Hamden town	A	84513849	1766055	32.631	0.682	41.397329	-72.922226
CT	0917044560	00213454	Madison town	A	93622112	1251400	36.148	0.483	41.344479	-72.624543
CT	0917046520	00213458	Meriden town	C	61466622	940444	23.732	0.363	41.536777	-72.794543
CT	0917047535	00213462	Milford town	C	57444044	10216676	22.179	3.945	41.225086	-73.06111
CT	0917052070	00213471	New Haven town	C	48407074	3738290	18.69	1.443	41.310809	-72.924953
CT	0917053890	00213477	North Branford town	A	64123452	4939189	24.758	1.907	41.362257	-72.783462
CT	0917054870	00213479	North Haven town	A	53974694	714453	20.84	0.276	41.381465	-72.856371
CT	0917057600	00213485	Orange town	A	44498764	616353	17.181	0.238	41.284951	-73.024637
CT	0917078740	00213522	Wallingford town	A	101433657	2148347	39.164	0.829	41.458657	-72.804516
CT	0917082870	00213530	West Haven town	C	27842629	431797	10.75	0.167	41.272121	-72.967497
CT	0917087700	00213539	Woodbridge town	A	48722327	971942	18.812	0.375	41.363536	-73.003891
CT	0918000000	00000000	County subdivisions not defined	F	0	48811567	0.	18.846	41.260273	-72.174592
CT	0918006820	00213394	Bozrah town	A	51708109	723331	19.965	0.279	41.545058	-72.175228
CT	0918015910	00213409	Colchester town	A	126766631	2074992	48.945	0.801	41.557271	-72.344247
CT	0918023400	00213426	East Lyme town	A	88104875	20659366	34.017	7.977	41.356068	-72.229841
CT	0918029910	00213431	Franklin town	A	51048739	222178	19.71	0.086	41.621212	-72.142609
CT	0918033900	00213436	Griswold town	A	89897144	6104029	34.709	2.357	41.584772	-71.921091
CT	0918034250	00213437	Groton town	A	80573716	36707531	31.11	14.173	41.347718	-72.031345
CT	0918042390	00213449	Lebanon town	A	140113258	2986571	54.098	1.153	41.632955	-72.24009
CT	0918042600	00213450	Ledyard town	A	98968751	4635709	38.212	1.79	41.431132	-72.020303
CT	0918043230	00213451	Lisbon town	A	42200264	1018780	16.294	0.393	41.602766	-72.012261
CT	0918048900	00213464	Montville town	A	108276505	5717209	41.806	2.207	41.4639	-72.15557
CT	0918052350	00213473	New London town	C	14521396	12907225	5.607	4.984	41.332957	-72.096176
CT	0918055500	00213480	North Stonington town	A	140501875	1868223	54.248	0.721	41.470969	-71.872525
CT	0918056270	00213482	Norwich town	C	72680186	3483833	28.062	1.345	41.548006	-72.089454
CT	0918062150	00213492	Preston town	A	79848696	2360639	30.83	0.911	41.518652	-72.006597
CT	0918066210	00213499	Salem town	A	74924895	2172864	28.929	0.839	41.489351	-72.25838
CT	0918071670	00213510	Sprague town	A	34296090	1491928	13.242	0.576	41.63557	-72.077527
CT	0918073770	00213513	Stonington town	A	100075603	29643941	38.639	11.446	41.36351	-71.911368
CT	0918080280	00213526	Waterford town	A	85122385	30723961	32.866	11.863	41.351686	-72.146834
CT	0918086790	00213537	Windham town	A	69533865	2148923	26.847	0.83	41.714475	-72.168667
CT	0919000000	00000000	County subdivisions not defined	F	0	71830560	0.	27.734	41.030763	-73.360114
CT	0919004720	00213390	Bethel town	A	43918190	156161	16.957	0.06	41.369778	-73.389503
CT	0919008210	00213397	Bridgewater town	A	42478578	2360514	16.401	0.911	41.520294	-73.361093
CT	0919008980	00213399	Brookfield town	A	51115716	1541624	19.736	0.595	41.470402	-73.39476
CT	0919018500	00213415	Danbury town	C	108855295	5807119	42.029	2.242	41.398741	-73.478103
CT	0919018850	00213416	Darien town	A	32774488	28026885	12.654	10.821	41.05215	-73.479714
CT	0919033620	00213435	Greenwich town	A	123597680	50732031	47.721	19.588	41.045366	-73.634018
CT	0919050580	00213468	New Canaan town	A	57484080	851635	22.195	0.329	41.160393	-73.500124
CT	0919050860	00213469	New Fairfield town	A	52889967	12149364	20.421	4.691	41.480318	-73.486863
CT	0919052630	00213474	New Milford town	A	159446316	5617318	61.563	2.169	41.601267	-73.422807
CT	0919052980	00213475	Newtown town	A	148996254	3653731	57.528	1.411	41.399503	-73.293982
CT	0919056060	00213481	Norwalk town	C	59275232	34928558	22.886	13.486	41.092739	-73.419796
CT	0919063480	00213495	Redding town	A	81527153	1406606	31.478	0.543	41.305415	-73.392584
CT	0919063970	00213496	Ridgefield town	A	89355361	1289098	34.5	0.498	41.317675	-73.499837
CT	0919068310	00213505	Sherman town	A	56757602	3967080	21.914	1.532	41.579418	-73.49769
CT	0919073070	00213511	Stamford town	C	97455298	37299009	37.628	14.401	41.079611	-73.54608
CT	0919083430	00213531	Weston town	A	51203832	2341309	19.77	0.904	41.227413	-73.367061
CT	0919083500	00213532	Westport town	A	51695166	34950171	19.96	13.494	41.120831	-73.343464
CT	0919086370	00213535	Wilton town	A	69376751	1276100	26.787	0.493	41.211277	-73.440977
