USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
CT	0911001080	00213382	Andover town	A	40012484	635900	15.449	0.246	41.732982	-72.374658
CT	0911002060	00213385	Avon town	A	59982587	1118863	23.159	0.432	41.787159	-72.852046
CT	0911004300	00213388	Berlin town	A	68147323	1744874	26.312	0.674	41.605451	-72.778497
CT	0911005910	00213392	Bloomfield town	A	67562263	430688	26.086	0.166	41.843772	-72.741002
CT	0911006260	00213393	Bolton town	A	37314555	766251	14.407	0.296	41.764589	-72.437575
CT	0911012270	00213404	Canton town	A	63676511	1137667	24.586	0.439	41.858726	-72.910862
CT	0911016400	00213411	Columbia town	A	55355052	1587988	21.373	0.613	41.693707	-72.305671
CT	0911017800	00213413	Coventry town	A	97308019	1744460	37.571	0.674	41.780212	-72.343758
CT	0911022070	00213421	East Granby town	A	45443300	261880	17.546	0.101	41.929719	-72.745378
CT	0911022630	00213424	East Hartford town	A	46638314	1904155	18.007	0.735	41.760695	-72.607646
CT	0911024800	00212329	East Windsor town	A	67989002	1466611	26.251	0.566	41.904009	-72.564473
CT	0911025360	00212330	Ellington town	A	88164952	1380866	34.041	0.533	41.914149	-72.445568
CT	0911025990	00212332	Enfield town	A	86292839	2448828	33.318	0.945	41.983993	-72.555553
CT	0911027600	00213430	Farmington town	A	72265588	2271280	27.902	0.877	41.729774	-72.842031
CT	0911031240	00213432	Glastonbury town	A	132758389	2376010	51.258	0.917	41.691883	-72.552173
CT	0911032640	00213434	Granby town	A	105497706	351359	40.733	0.136	41.97148	-72.830159
CT	0911037070	00213442	Hartford town	C	45012647	1751553	17.379	0.676	41.765933	-72.681579
CT	0911037910	00213445	Hebron town	A	95557617	904946	36.895	0.349	41.658584	-72.39342
CT	0911044700	00213455	Manchester town	A	71023124	669939	27.422	0.259	41.77524	-72.524434
CT	0911044910	00213456	Mansfield town	A	115605879	2640719	44.636	1.02	41.789272	-72.228464
CT	0911045820	00213457	Marlborough town	A	60479198	444481	23.351	0.172	41.636439	-72.454002
CT	0911050440	00213467	New Britain town	C	34694284	187384	13.396	0.072	41.676555	-72.786161
CT	0911052140	00213472	Newington town	A	34034098	0	13.141	0.	41.686993	-72.730839
CT	0911060120	00213488	Plainville town	A	25139798	191859	9.707	0.074	41.673992	-72.854434
CT	0911065370	00213497	Rocky Hill town	A	34867960	997339	13.463	0.385	41.656624	-72.661779
CT	0911068940	00213506	Simsbury town	A	87883318	951746	33.932	0.367	41.87253	-72.828438
CT	0911069220	00212346	Somers town	A	73701162	304027	28.456	0.117	41.992633	-72.453725
