fips,state,county,n_events_total,n_per_year,observation_years,duration_p95,dqi,d1_volume,d2_per_year,d3_obs_years,d4_tail,d5_dqi,tier
1001,AL,Autauga,8861,793.481857557308,11.16723705224732,7.25,0.76307164538,green,green,green,green,amber,amber
1003,AL,Baldwin,7672,687.0096841417072,11.16723705224732,24.5,0.76307164538,green,green,green,green,amber,amber
1005,AL,Barbour,5190,464.75238017406934,11.16723705224732,7.25,0.76307164538,green,green,green,green,amber,amber
1007,AL,Bibb,5543,496.36270583908794,11.16723705224732,10.974999999999909,0.76307164538,green,green,green,green,amber,amber
1009,AL,Blount,6837,612.2373840558984,11.16723705224732,13.0,0.76307164538,green,green,green,green,amber,amber
1011,AL,Bullock,3433,307.4171331671638,11.16723705224732,7.5,0.76307164538,green,green,green,green,amber,amber
1013,AL,Butler,6885,616.5356719650226,11.16723705224732,7.5,0.76307164538,green,green,green,green,amber,amber
1015,AL,Calhoun,6325,566.3889796919053,11.16723705224732,21.25,0.76307164538,green,green,green,green,amber,amber
1017,AL,Chambers,5533,495.46722919135374,11.16723705224732,7.0,0.76307164538,green,green,green,green,amber,amber
1019,AL,Cherokee,242,21.670534875168553,11.16723705224732,12.224999999999994,0.76307164538,green,green,green,green,amber,amber
1021,AL,Chilton,8419,753.9017897274547,11.16723705224732,8.75,0.76307164538,green,green,green,green,amber,amber
1023,AL,Choctaw,2065,184.91592775712007,11.16723705224732,10.0,0.76307164538,green,green,green,green,amber,amber
1025,AL,Clarke,3975,355.9519674743595,11.16723705224732,7.5,0.76307164538,green,green,green,green,amber,amber
1027,AL,Clay,3978,356.22061046867975,11.16723705224732,9.25,0.76307164538,green,green,green,green,amber,amber
1029,AL,Cleburne,4595,411.4715196338822,11.16723705224732,13.5,0.76307164538,green,green,green,green,amber,amber
1031,AL,Coffee,7935,710.5607199771176,11.16723705224732,7.5,0.76307164538,green,green,green,green,amber,amber
1033,AL,Colbert,3,0.26864299432027133,11.16723705224732,4.625,0.76307164538,red,red,green,green,amber,red
1035,AL,Conecuh,1052,94.20414334164181,11.16723705224732,5.75,0.76307164538,green,green,green,green,amber,amber
1037,AL,Coosa,5244,469.58795407183425,11.16723705224732,9.25,0.76307164538,green,green,green,green,amber,amber
1039,AL,Covington,5999,537.1964409757692,11.16723705224732,5.5,0.76307164538,green,green,green,green,amber,amber
1041,AL,Crenshaw,5391,482.75146079352754,11.16723705224732,7.375,0.76307164538,green,green,green,green,amber,amber
1043,AL,Cullman,7687,688.3528991133086,11.16723705224732,8.5,0.76307164538,green,green,green,green,amber,amber
1045,AL,Dale,6162,551.7927103338372,11.16723705224732,6.75,0.76307164538,green,green,green,green,amber,amber
1047,AL,Dallas,8149,729.7239202386303,11.16723705224732,11.25,0.76307164538,green,green,green,green,amber,amber
1049,AL,DeKalb,76,6.805622522780206,11.16723705224732,8.25,0.76307164538,amber,amber,green,green,amber,amber
1051,AL,Elmore,9388,840.6734768929024,11.16723705224732,10.75,0.76307164538,green,green,green,green,amber,amber
1053,AL,Escambia,5089,455.7080660319536,11.16723705224732,7.5,0.76307164538,green,green,green,green,amber,amber
1055,AL,Etowah,7109,636.5943488742696,11.16723705224732,15.25,0.76307164538,green,green,green,green,amber,amber
1057,AL,Fayette,5338,478.0054345605361,11.16723705224732,10.0,0.76307164538,green,green,green,green,amber,amber
1059,AL,Franklin,3327,297.9250807011809,11.16723705224732,7.5,0.76307164538,green,green,green,green,amber,amber
1061,AL,Geneva,6795,608.4763821354145,11.16723705224732,7.25,0.76307164538,green,green,green,green,amber,amber
1063,AL,Greene,2319,207.66103460956973,11.16723705224732,7.5,0.76307164538,green,green,green,green,amber,amber
1065,AL,Hale,4410,394.90520165079886,11.16723705224732,8.25,0.76307164538,green,green,green,green,amber,amber
1067,AL,Henry,4070,364.4589956278347,11.16723705224732,7.25,0.76307164538,green,green,green,green,amber,amber
1069,AL,Houston,7638,683.9650635394107,11.16723705224732,9.0,0.76307164538,green,green,green,green,amber,amber
