fips,NAME,mcc,households,housing_units,population,peak,ratio_hh,base_repaired,corrupt_outage
38067,"Pembina County, North Dakota",2474.0,2961,3526,6853,837,0.8355285376561973,2474.0,False
17125,"Mason County, Illinois",4847.0,5788,6646,13074,2621,0.8374222529371113,4847.0,False
13015,"Bartow County, Georgia",32190.0,38429,42731,109410,19932,0.8376486507585418,32190.0,False
46039,"Deuel County, South Dakota",1505.0,1795,2136,4298,1867,0.8384401114206128,1505.0,True
8075,"Logan County, Colorado",6707.0,7985,8693,21302,15466,0.8399499060738885,6707.0,True
19149,"Plymouth County, Iowa",8581.0,10214,10819,25621,2232,0.8401214019972587,8581.0,False
8119,"Teller County, Colorado",9307.0,11040,13365,24758,8165,0.8430253623188406,9307.0,False
8019,"Clear Creek County, Colorado",3877.0,4589,5717,9403,6422,0.844846371758553,3877.0,True
34037,"Sussex County, New Jersey",47606.0,56348,62709,144808,44821,0.8448569603180237,47606.0,False
29115,"Linn County, Missouri",4038.0,4773,6011,11892,3108,0.8460087994971716,4038.0,False
38039,"Griggs County, North Dakota",786.0,927,1377,2309,1790,0.8478964401294499,786.0,True
29085,"Hickory County, Missouri",2972.0,3504,5547,8452,1944,0.8481735159817352,2972.0,False
55105,"Rock County, Wisconsin",56401.0,66439,70230,163817,12673,0.848914041451557,56401.0,False
30011,"Carter County, Montana",508.0,598,784,1332,33,0.8494983277591973,508.0,False
13121,"Fulton County, Georgia",383737.0,450856,493587,1061944,178832,0.8511298507727523,383737.0,False
48197,"Hardeman County, Texas",1110.0,1304,1819,3541,2465,0.8512269938650306,1110.0,True
55045,"Green County, Wisconsin",13290.0,15594,16304,37066,4731,0.8522508657175837,13290.0,False
42001,"Adams County, Pennsylvania",34102.0,40006,43118,104604,16455,0.8524221366794981,34102.0,False
20025,"Clark County, Kansas",688.0,807,1044,1977,5,0.8525402726146221,688.0,False
39093,"Lorain County, Ohio",106179.0,124510,134591,313101,53056,0.8527748775198779,106179.0,False
54039,"Kanawha County, West Virginia",65999.0,77252,90524,179895,59406,0.8543338683788122,65999.0,False
37049,"Craven County, North Carolina",35033.0,41004,47051,101098,20735,0.8543800604819042,35033.0,False
12127,"Volusia County, Florida",198922.0,232673,273835,558520,318854,0.8549423439763101,198922.0,True
55007,"Bayfield County, Wisconsin",6473.0,7557,13243,16214,5170,0.8565568347227736,6473.0,False
48041,"Brazos County, Texas",73982.0,86289,97310,234548,44703,0.8573746363962962,73982.0,False
48297,"Live Oak County, Texas",3562.0,4153,5957,11374,5763,0.8576932338068866,3562.0,True
31151,"Saline County, Nebraska",4407.0,5137,5734,14275,2753,0.8578937122834339,4407.0,False
18041,"Fayette County, Indiana",8302.0,9672,10896,23391,5068,0.858354011579818,8302.0,False
51155,"Pulaski County, Virginia",12413.0,14455,17031,33841,16017,0.8587340020754064,12413.0,True
20119,"Meade County, Kansas",1376.0,1602,1912,4019,16,0.8589263420724095,1376.0,False
54015,"Clay County, West Virginia",2463.0,2865,3957,8049,5299,0.8596858638743455,2463.0,True
17027,"Clinton County, Illinois",12465.0,14493,15628,36998,12244,0.8600703788035603,12465.0,False
54081,"Raleigh County, West Virginia",25284.0,29395,34708,74303,22865,0.8601462833815274,25284.0,False
37165,"Scotland County, North Carolina",10518.0,12224,14422,34222,10690,0.8604384816753927,10518.0,True
37189,"Watauga County, North Carolina",18248.0,21194,32783,54540,25405,0.8609983957723885,18248.0,True
23031,"York County, Maine",76996.0,89404,112660,212691,90611,0.8612142633439219,76996.0,True
55023,"Crawford County, Wisconsin",5637.0,6544,8699,16123,8996,0.8613997555012225,5637.0,True
12103,"Pinellas County, Florida",361147.0,418716,516276,959918,449310,0.8625106277285798,361147.0,True
23013,"Knox County, Maine",15343.0,17780,24331,40729,20497,0.8629358830146232,15343.0,True
55133,"Waukesha County, Wisconsin",143177.0,165733,172274,407290,45425,0.8639015766322942,143177.0,False
51115,"Mathews County, Virginia",3233.0,3742,5478,8537,6636,0.8639764831640834,3233.0,True
19157,"Poweshiek County, Iowa",6708.0,7761,8942,18608,8164,0.864321608040201,6708.0,True
29107,"Lafayette County, Missouri",10521.0,12165,14151,32858,3823,0.8648581997533908,10521.0,False
51036,"Charles City County, Virginia",2516.0,2905,3252,6760,3916,0.866092943201377,2516.0,True
55015,"Calumet County, Wisconsin",17941.0,20712,21776,52361,28485,0.8662128234839707,17941.0,True
10003,"New Castle County, Delaware",191056.0,220437,233746,570567,61872,0.8667147529679682,191056.0,False
39039,"Defiance County, Ohio",13228.0,15262,16563,38300,6724,0.8667278207312279,13228.0,False
22111,"Union Parish, Louisiana",7091.0,8172,10458,21049,13543,0.8677190406265296,7091.0,True
22049,"Jackson Parish, Louisiana",4755.0,5461,7237,15093,8462,0.870719648416041,4755.0,True
55125,"Vilas County, Wisconsin",9284.0,10651,24661,23146,19123,0.871655243639095,9284.0,True
12055,"Highlands County, Florida",39050.0,44685,57605,102339,52875,0.8738950430793331,39050.0,True
55109,"St. Croix County, Wisconsin",31550.0,36004,37640,93752,17765,0.8762915231640929,31550.0,False
48351,"Newton County, Texas",4202.0,4787,6457,12333,1016,0.8777940254856904,4202.0,False
48393,"Roberts County, Texas",281.0,320,397,764,730,0.878125,281.0,True
48253,"Jones County, Texas",5201.0,5917,7052,19758,4702,0.8789927328037856,5201.0,False
30001,"Beaverhead County, Montana",3612.0,4107,4964,9469,6180,0.8794740686632578,3612.0,True
17117,"Macoupin County, Illinois",15453.0,17567,21091,44907,6125,0.8796607275004269,15453.0,False
29215,"Texas County, Missouri",8217.0,9335,11042,24828,4202,0.8802356722013926,8217.0,False
19141,"O'Brien County, Iowa",5030.0,5700,6546,14138,3169,0.8824561403508772,5030.0,False
31159,"Seward County, Nebraska",5805.0,6576,7099,17644,5874,0.8827554744525548,5805.0,True
39017,"Butler County, Ohio",127599.0,144536,154056,388327,50956,0.8828181214368739,127599.0,False
18141,"St. Joseph County, Indiana",94899.0,107466,118075,272388,25546,0.8830606889620903,94899.0,False
41013,"Crook County, Oregon",9093.0,10291,11236,24987,6987,0.8835876008162472,9093.0,False
48211,"Hemphill County, Texas",1189.0,1345,1679,3371,1802,0.8840148698884759,1189.0,True
23025,"Somerset County, Maine",19524.0,22074,29929,50656,27638,0.8844794781190541,19524.0,True
22077,"Pointe Coupee Parish, Louisiana",7258.0,8203,11020,20652,4785,0.8847982445446788,7258.0,False
29033,"Carroll County, Missouri",2981.0,3367,4381,8513,2368,0.8853578853578854,2981.0,False
48477,"Washington County, Texas",12824.0,14482,17083,35807,14504,0.8855130506836072,12824.0,True
48179,"Gray County, Texas",7103.0,8021,10005,21272,10717,0.8855504301209326,7103.0,True
29159,"Pettis County, Missouri",14790.0,16696,18562,43059,4953,0.8858409199808337,14790.0,False
54109,"Wyoming County, West Virginia",6856.0,7724,10010,21237,6263,0.887622993267737,6856.0,False
38031,"Foster County, North Dakota",1325.0,1492,1773,3388,1148,0.8880697050938338,1325.0,False
